model,resize,variant,seed,epochs,endpoint,top1,native_image_size,patch_size,validation_batch_size,resumed_within_same_job,summary_path,summary_sha256,args_sha256,manifest_path,manifest_sha256,completion_path,completion_sha256,checkpoint_path,recorded_checkpoint_sha256,fresh_checkpoint_hash,checkpoint_parity_receipt,parity_receipt_sha256,runtime_tree_sha256,protocol_sha256,created_at,completed_at,audit_pass
mn_l2,160,flat_w8_historical,42,200,epoch199_ema_top1,68.79,32,8,200,True,/liziqing/yukai/otm_worktree_mncifar/work_dirs/classification/cifar_resize_delivery_validation_20260810/runs/mn_l2/r160/seed42/summary.csv,0251c25e9a0ffd71d4c1f5b3187fdfdc07e9c14f5e70e5e1d8f3c8f016de8505,8bb4ee8e74c6c151a986e52abdc46f54c7e0d1037fe5585e9d6f8b4e95ec974d,/liziqing/yukai/otm_worktree_mncifar/work_dirs/classification/cifar_resize_delivery_validation_20260810/runs/mn_l2/r160/seed42/manifest.json,b1fc1762ae71246da00760173ad6a20ac8f7b825c33da4f4567491483f4e3bc4,/liziqing/yukai/otm_worktree_mncifar/work_dirs/classification/cifar_resize_delivery_validation_20260810/runs/mn_l2/r160/seed42/completion.json,573b64e1c0857a5ec691ff7d3096df83931480e54c3817d7d5698a2e3f03fbef,/liziqing/yukai/otm_worktree_mncifar/work_dirs/classification/cifar_resize_delivery_validation_20260810/runs/mn_l2/r160/seed42/last.pth.tar,39fa6e4269a464414205b9261336a7f521336e3520e2a1556e415512f2b2a331,False,,,2a0c7ff66c32eb167aef459fdc04d3d188deb0d2c6f1d0428dcf1b3cceedc94d,8124e12a905b10e37a95d06e877aea7d5219be6f1026074c4ea1d196eed91ce3,2026-08-12T07:46:46+00:00,2026-08-13T10:54:34+00:00,True
mn_l2,160,global,42,200,epoch199_ema_top1,67.8,32,8,200,False,/liziqing/yukai/otm_worktree_mncifar/work_dirs/classification/cifar_dtem_spatial_20260814/runs/mn_l2/global/r160/seed42/summary.csv,92a3c6c214ef636a8341d84bb4994c87afcaecc30ee8cd7a6101352556d332ca,507c4488e7dbb1a3be50b57ff9649b7c6c4ce33c2f2ec748ff429e10288840be,/liziqing/yukai/otm_worktree_mncifar/work_dirs/classification/cifar_dtem_spatial_20260814/runs/mn_l2/global/r160/seed42/manifest.json,f14fe2510ed8bbcc282f546ec61c9b280c54e2225a7fc595c3a817975f04b231,/liziqing/yukai/otm_worktree_mncifar/work_dirs/classification/cifar_dtem_spatial_20260814/runs/mn_l2/global/r160/seed42/completion.json,66d70a7fc1326ddf3b900d0b80884a75afe1d3f00a116738e5d26d4dba37b85e,/liziqing/yukai/otm_worktree_mncifar/work_dirs/classification/cifar_dtem_spatial_20260814/runs/mn_l2/global/r160/seed42/last.pth.tar,8e32d35c98f4c1ec439803a4ce5709db4b3ff19f7b2c47926a7e36e4eef1d61e,False,/liziqing/yukai/otm_worktree_mncifar/work_dirs/classification/cifar_dtem_spatial_20260814/evaluation/checkpoint_parity/mn_l2_global_r160_seed42.json,31655b06c4af2f11c01a23ce49a96b8c27046e7b1915b751b8a273255c9f37fd,9387828f5a90e2a2dfb2f68a0ffaaf812be81ca4fd4140d59373f7a57d0093fd,3c43e6a13aaa0a0037c012ccbddc84beb27d24957eb696cd736251ccb1d826f6,2026-08-18T01:43:32+00:00,2026-08-18T07:35:38+00:00,True
mn_l2,160,spatial_r1,42,200,epoch199_ema_top1,66.03,32,8,200,False,/liziqing/yukai/otm_worktree_mncifar/work_dirs/classification/cifar_dtem_spatial_20260814/runs/mn_l2/spatial_r1/r160/seed42/summary.csv,7c8f4d6437cb17db0f8e9f41c76e87dbd148228c758fdadc120b87361c30cc81,466bf7e8bf4f35ecaa5e980b159be458763731263e02ffb1a969188f0d254f45,/liziqing/yukai/otm_worktree_mncifar/work_dirs/classification/cifar_dtem_spatial_20260814/runs/mn_l2/spatial_r1/r160/seed42/manifest.json,e7c67b51dd09abc494f2e1d5e1931d5193eb80b786c25f866002beebdb6180e5,/liziqing/yukai/otm_worktree_mncifar/work_dirs/classification/cifar_dtem_spatial_20260814/runs/mn_l2/spatial_r1/r160/seed42/completion.json,e24fad4650e5e0066e4139fdcc533652d5b0a16ea4e07eba0e449f34ba677df7,/liziqing/yukai/otm_worktree_mncifar/work_dirs/classification/cifar_dtem_spatial_20260814/runs/mn_l2/spatial_r1/r160/seed42/last.pth.tar,5086e56b9cb1236b32af6d9e463c0bacead453c955c6d291fee98afcefd2c0ee,False,/liziqing/yukai/otm_worktree_mncifar/work_dirs/classification/cifar_dtem_spatial_20260814/evaluation/checkpoint_parity/mn_l2_r1_r160_seed42.json,616af79809f6b3aeabfde260496a3679380e52767ffabcf420061abe068aa57c,9387828f5a90e2a2dfb2f68a0ffaaf812be81ca4fd4140d59373f7a57d0093fd,3c43e6a13aaa0a0037c012ccbddc84beb27d24957eb696cd736251ccb1d826f6,2026-08-18T03:16:29+00:00,2026-08-18T08:56:05+00:00,True
mn_l2,160,spatial_r2,42,200,epoch199_ema_top1,69.78,32,8,200,False,/liziqing/yukai/otm_worktree_mncifar/work_dirs/classification/cifar_dtem_spatial_20260814/runs/mn_l2/spatial_r2/r160/seed42/summary.csv,c097d028f379ae095ceca336ed840836a0dc7d23cd305727c33fd248119093c5,d4b26d8c47e39c398936e62b91a04cbf10f615185339897e3738a9e8585a7575,/liziqing/yukai/otm_worktree_mncifar/work_dirs/classification/cifar_dtem_spatial_20260814/runs/mn_l2/spatial_r2/r160/seed42/manifest.json,82a72e25738a1d4f7ea58eef339e3505b6373f0de3b10b1e63bf2d5cf286706b,/liziqing/yukai/otm_worktree_mncifar/work_dirs/classification/cifar_dtem_spatial_20260814/runs/mn_l2/spatial_r2/r160/seed42/completion.json,e0eb4a99b1083f5d4b1d9765279952159288afac7da89b514c01a94f0fed7aad,/liziqing/yukai/otm_worktree_mncifar/work_dirs/classification/cifar_dtem_spatial_20260814/runs/mn_l2/spatial_r2/r160/seed42/last.pth.tar,f679da8aa3b106ba09bc0624d4e51d82c9a565e26f90f948b46a0150d92f2f8a,False,/liziqing/yukai/otm_worktree_mncifar/work_dirs/classification/cifar_dtem_spatial_20260814/evaluation/checkpoint_parity/mn_l2_r2_r160_seed42.json,09a804c00a6931a8619d232fb6551781c051115812709ac9b616361513b1403b,9387828f5a90e2a2dfb2f68a0ffaaf812be81ca4fd4140d59373f7a57d0093fd,3c43e6a13aaa0a0037c012ccbddc84beb27d24957eb696cd736251ccb1d826f6,2026-08-18T03:16:29+00:00,2026-08-18T08:54:38+00:00,True
mn_l2,160,spatial_r3,42,200,epoch199_ema_top1,69.42,32,8,200,False,/liziqing/yukai/otm_worktree_mncifar/work_dirs/classification/cifar_dtem_spatial_20260814/runs/mn_l2/spatial_r3/r160/seed42/summary.csv,0d30ce959af5791d7f3be754e84bde68e84cd601483cbde3dd7c64279e92cf7a,07ab5ab265f4e8c60081b7860076dd6322a2fd2752d25019f7f61a0b5531b712,/liziqing/yukai/otm_worktree_mncifar/work_dirs/classification/cifar_dtem_spatial_20260814/runs/mn_l2/spatial_r3/r160/seed42/manifest.json,fcd5906fb91a58b3d252eb76b33e351ac1b7253140602b91d882646f5d2089ec,/liziqing/yukai/otm_worktree_mncifar/work_dirs/classification/cifar_dtem_spatial_20260814/runs/mn_l2/spatial_r3/r160/seed42/completion.json,85359acce58621de6f4b1b611bf3d7ea0fd7862d82ccaf0fa5653ab72fd765f7,/liziqing/yukai/otm_worktree_mncifar/work_dirs/classification/cifar_dtem_spatial_20260814/runs/mn_l2/spatial_r3/r160/seed42/last.pth.tar,f52228b5a1d79c180413d6457bfddd1fa1383c459ca86e4c0ef4bb905994ab05,False,/liziqing/yukai/otm_worktree_mncifar/work_dirs/classification/cifar_dtem_spatial_20260814/evaluation/checkpoint_parity/mn_l2_r3_r160_seed42.json,0fdaa1db12792ad4e03307cf444eeb1835e87f74a59c56aadf1c445325a8ea61,9387828f5a90e2a2dfb2f68a0ffaaf812be81ca4fd4140d59373f7a57d0093fd,3c43e6a13aaa0a0037c012ccbddc84beb27d24957eb696cd736251ccb1d826f6,2026-08-18T06:03:42+00:00,2026-08-18T12:10:15+00:00,True
mn_l2,160,spatial_r4,42,200,epoch199_ema_top1,68.59,32,8,200,False,/liziqing/yukai/otm_worktree_mncifar/work_dirs/classification/cifar_dtem_spatial_20260814/runs/mn_l2/spatial_r4/r160/seed42/summary.csv,6b7168acd25067df398937c7f83f80de3eac9df3b49847add5369109716c4105,0173dec66b910b1ce72d413ac7a6c728892a96c29eb381be1599ee08b107f7c7,/liziqing/yukai/otm_worktree_mncifar/work_dirs/classification/cifar_dtem_spatial_20260814/runs/mn_l2/spatial_r4/r160/seed42/manifest.json,5d7c9af1f883dd4026a54a25582774f5083179bb69ae92dcf8fcb4a0d9d6b4f9,/liziqing/yukai/otm_worktree_mncifar/work_dirs/classification/cifar_dtem_spatial_20260814/runs/mn_l2/spatial_r4/r160/seed42/completion.json,f7f0d9206082a58b81bf9f713455bdbe7614a57577352b3f04d73d88da1a7ac5,/liziqing/yukai/otm_worktree_mncifar/work_dirs/classification/cifar_dtem_spatial_20260814/runs/mn_l2/spatial_r4/r160/seed42/last.pth.tar,b0e2aed3148539e4cbb30fe88efa422ad4d3769092328c321d435f7a3fe1cfe5,False,/liziqing/yukai/otm_worktree_mncifar/work_dirs/classification/cifar_dtem_spatial_20260814/evaluation/checkpoint_parity/mn_l2_r4_r160_seed42.json,b4d5cdae8efb8c42bedfcb8200e61459078a2d9764dcfd3e235b7a9d36184d8e,9387828f5a90e2a2dfb2f68a0ffaaf812be81ca4fd4140d59373f7a57d0093fd,3c43e6a13aaa0a0037c012ccbddc84beb27d24957eb696cd736251ccb1d826f6,2026-08-18T07:41:40+00:00,2026-08-18T13:45:03+00:00,True
mn_l2,160,spatial_r8,42,200,epoch199_ema_top1,67.62,32,8,200,False,/liziqing/yukai/otm_worktree_mncifar/work_dirs/classification/cifar_dtem_spatial_20260814/runs/mn_l2/spatial_r8/r160/seed42/summary.csv,660d4a9ddde9b67cab4a82b1e4464a1e4a0599c893c93f078d10af705c3fb497,8f26e017b42076b20554e7dbd5ed7563ad86d023e97e24b8c66fb5349f7a4ae0,/liziqing/yukai/otm_worktree_mncifar/work_dirs/classification/cifar_dtem_spatial_20260814/runs/mn_l2/spatial_r8/r160/seed42/manifest.json,8e5a2afbac468c80496c2fff4fc203ad045ca68de75ea7694a641eae0003de0d,/liziqing/yukai/otm_worktree_mncifar/work_dirs/classification/cifar_dtem_spatial_20260814/runs/mn_l2/spatial_r8/r160/seed42/completion.json,86127f2ebac4a5522816311e7f9a9df1823f286d0e6ed7402fc2a35751c690f4,/liziqing/yukai/otm_worktree_mncifar/work_dirs/classification/cifar_dtem_spatial_20260814/runs/mn_l2/spatial_r8/r160/seed42/last.pth.tar,5ad696d54024b9ffb09528411b625dddacaff5edc7e4ee5c75f12510ac99eed8,False,/liziqing/yukai/otm_worktree_mncifar/work_dirs/classification/cifar_dtem_spatial_20260814/evaluation/checkpoint_parity/mn_l2_r8_r160_seed42.json,759ff15f62a5334f1496ced8605d06242ec5116e86acd130a9d4e0d0b26e36fc,9387828f5a90e2a2dfb2f68a0ffaaf812be81ca4fd4140d59373f7a57d0093fd,3c43e6a13aaa0a0037c012ccbddc84beb27d24957eb696cd736251ccb1d826f6,2026-08-18T08:24:37+00:00,2026-08-18T14:14:13+00:00,True
mn_l2,192,flat_w8_historical,42,200,epoch199_ema_top1,69.93,32,8,200,False,/liziqing/yukai/otm_worktree_mncifar/work_dirs/classification/cifar_resize_delivery_validation_20260810/runs/mn_l2/r192/seed42/summary.csv,bf5d398512f2e271d162b98d837825200f0e32ccde865b1bda9a8734c3a95254,e10eec2e00984b8e84d7340c41dfc2fb2e339c06b561b6289f756528ae83cbc9,/liziqing/yukai/otm_worktree_mncifar/work_dirs/classification/cifar_resize_delivery_validation_20260810/runs/mn_l2/r192/seed42/manifest.json,fccf600567a2b894f6ff890ae8fc918037ee74bc845a7b809083d81cc1976a3c,/liziqing/yukai/otm_worktree_mncifar/work_dirs/classification/cifar_resize_delivery_validation_20260810/runs/mn_l2/r192/seed42/completion.json,5457c20801b42880da6fac7c1ab0140734e86f31b1758775815f5314b7a35561,/liziqing/yukai/otm_worktree_mncifar/work_dirs/classification/cifar_resize_delivery_validation_20260810/runs/mn_l2/r192/seed42/last.pth.tar,8657a98d69702e5a0c7c7f48ef755cae4ceb36dace9149e668b67c4b4b42b065,False,,,2a0c7ff66c32eb167aef459fdc04d3d188deb0d2c6f1d0428dcf1b3cceedc94d,8124e12a905b10e37a95d06e877aea7d5219be6f1026074c4ea1d196eed91ce3,2026-08-13T08:46:24+00:00,2026-08-13T14:46:12+00:00,True
mn_l2,192,global,42,200,epoch199_ema_top1,69.42,32,8,200,False,/liziqing/yukai/otm_worktree_mncifar/work_dirs/classification/cifar_dtem_spatial_20260814/runs/mn_l2/global/r192/seed42/summary.csv,125676874c2a9365d1ba24cc9b8f95c8fa0d4f9131ff59def63e6e26072bdace,42a0820ff2e91c21875896c1d9a8831da37a9464119f228e6cf0ed7c9f0d80aa,/liziqing/yukai/otm_worktree_mncifar/work_dirs/classification/cifar_dtem_spatial_20260814/runs/mn_l2/global/r192/seed42/manifest.json,5ba6f925bec8b5c5fdfe0a0c67aee96a6f5e930264b1a41972524e51d788a73c,/liziqing/yukai/otm_worktree_mncifar/work_dirs/classification/cifar_dtem_spatial_20260814/runs/mn_l2/global/r192/seed42/completion.json,a634fb9cc2d60123ae362c3a43c994b6e6378bff50b19b32566c6ef85427015c,/liziqing/yukai/otm_worktree_mncifar/work_dirs/classification/cifar_dtem_spatial_20260814/runs/mn_l2/global/r192/seed42/last.pth.tar,368c2ba1997c747f42e2fc1f2e1ff17fda1ea1e848786d4c48e93c448b9da22a,False,/liziqing/yukai/otm_worktree_mncifar/work_dirs/classification/cifar_dtem_spatial_20260814/evaluation/checkpoint_parity/mn_l2_global_r192_seed42.json,19f1205f2b6fd73e78e1f9139dc30a38579aeed2d651d74c79c8efd7681de423,9387828f5a90e2a2dfb2f68a0ffaaf812be81ca4fd4140d59373f7a57d0093fd,3c43e6a13aaa0a0037c012ccbddc84beb27d24957eb696cd736251ccb1d826f6,2026-08-17T09:37:16+00:00,2026-08-17T14:59:23+00:00,True
mn_l2,192,spatial_r1,42,200,epoch199_ema_top1,70.11,32,8,200,False,/liziqing/yukai/otm_worktree_mncifar/work_dirs/classification/cifar_dtem_spatial_20260814/runs/mn_l2/spatial_r1/r192/seed42/summary.csv,e5b3e14a72ecd5661a42b008a092a016ed756c26e252af1e0ec7314d663053d3,8724d2db57834b162b86a6f58b8326a0766c7d78e873e2df04a64cec4074f8f3,/liziqing/yukai/otm_worktree_mncifar/work_dirs/classification/cifar_dtem_spatial_20260814/runs/mn_l2/spatial_r1/r192/seed42/manifest.json,50564ee9eceddf67a16cb1805ddb42229943fb6114efb5336b6bd604cf7f7bc0,/liziqing/yukai/otm_worktree_mncifar/work_dirs/classification/cifar_dtem_spatial_20260814/runs/mn_l2/spatial_r1/r192/seed42/completion.json,e7e6e630139b1ab51ef9501664e3c22c0f71ba2975cfc29acd58ff4ec7b68366,/liziqing/yukai/otm_worktree_mncifar/work_dirs/classification/cifar_dtem_spatial_20260814/runs/mn_l2/spatial_r1/r192/seed42/last.pth.tar,893365491a7efd1166dcb2646f7e06a77e632cc8934cb01880b6e32d71f0b715,False,/liziqing/yukai/otm_worktree_mncifar/work_dirs/classification/cifar_dtem_spatial_20260814/evaluation/checkpoint_parity/mn_l2_r1_r192_seed42.json,eade742135466e4f9cd3d14c19c747de0db853eb4015145054d9c45975aaabed,9387828f5a90e2a2dfb2f68a0ffaaf812be81ca4fd4140d59373f7a57d0093fd,3c43e6a13aaa0a0037c012ccbddc84beb27d24957eb696cd736251ccb1d826f6,2026-08-17T12:42:11+00:00,2026-08-17T19:59:10+00:00,True
