model,resize,native_size,patch_grid,seed,global_top1,historical_flat_w8_top1,r3_top1,r3_minus_global_pp,r3_minus_historical_flat_pp
mn_l2,160,32,20,42,67.8,68.79,69.42,1.62,0.63
mn_l2,192,32,24,42,69.42,69.93,70.85,1.43,0.92
mn_l2,224,32,28,42,69.5,70.53,70.53,1.03,0.0
mn_l2,256,32,32,42,69.5,70.12,71.03,1.53,0.91
mn_l2,320,32,40,42,69.85,70.81,71.42,1.57,0.61
mn_l4,160,32,20,42,65.29,66.69,67.92,2.63,1.23
mn_l4,192,32,24,42,69.87,69.75,71.27,1.4,1.52
mn_l4,224,32,28,42,68.21,69.87,70.52,2.31,0.65
mn_l4,256,32,32,42,67.35,68.3,69.4,2.05,1.1
mn_l4,320,32,40,42,66.05,67.08,68.83,2.78,1.75
