model,resize,variant,endpoint_top1,replay_fast_top1,replay_generic_top1,replay_minus_endpoint_pp,validation_batch_size,sample_count,max_abs_logit_diff,argmax_mismatch_count
mn_l2,160,global,67.8,67.79,67.79,-0.01,200,10000,0.0,0
mn_l2,160,spatial_r1,66.03,66.02,66.02,-0.01,200,10000,0.0,0
mn_l2,160,spatial_r2,69.78,69.79,69.79,0.01,200,10000,0.0,0
mn_l2,160,spatial_r3,69.42,69.42,69.42,0.0,200,10000,0.0,0
mn_l2,160,spatial_r4,68.59,68.59,68.59,0.0,200,10000,0.0,0
mn_l2,160,spatial_r8,67.62,67.62,67.62,0.0,200,10000,0.0,0
mn_l2,192,global,69.42,69.43,69.43,0.01,200,10000,0.0,0
mn_l2,192,spatial_r1,70.11,70.12,70.12,0.01,200,10000,0.0,0
mn_l2,192,spatial_r2,70.65,70.65,70.65,0.0,200,10000,0.0,0
mn_l2,192,spatial_r3,70.85,70.85,70.85,0.0,200,10000,0.0,0
mn_l2,192,spatial_r4,70.61,70.61,70.61,0.0,200,10000,0.0,0
mn_l2,192,spatial_r8,68.75,68.74,68.74,-0.01,200,10000,0.0,0
mn_l2,224,global,69.5,69.5,69.5,0.0,200,10000,0.0,0
mn_l2,224,spatial_r1,71.42,71.43,71.43,0.01,200,10000,0.0,0
mn_l2,224,spatial_r2,71.39,71.4,71.4,0.01,200,10000,0.0,0
mn_l2,224,spatial_r3,70.53,70.53,70.53,0.0,200,10000,0.0,0
mn_l2,224,spatial_r4,70.6,70.59,70.59,-0.01,200,10000,0.0,0
mn_l2,224,spatial_r8,68.87,68.87,68.87,0.0,200,10000,0.0,0
mn_l2,256,global,69.5,69.49,69.49,-0.01,100,10000,0.0,0
mn_l2,256,spatial_r1,71.14,71.14,71.14,0.0,100,10000,0.0,0
mn_l2,256,spatial_r2,71.9,71.9,71.9,0.0,100,10000,0.0,0
mn_l2,256,spatial_r3,71.03,71.02,71.02,-0.01,100,10000,0.0,0
mn_l2,256,spatial_r4,70.76,70.76,70.76,0.0,100,10000,0.0,0
mn_l2,256,spatial_r8,69.32,69.32,69.32,0.0,100,10000,0.0,0
mn_l2,320,global,69.85,69.85,69.85,0.0,50,10000,0.0,0
mn_l2,320,spatial_r1,71.45,71.45,71.45,0.0,50,10000,0.0,0
mn_l2,320,spatial_r2,71.39,71.4,71.4,0.01,50,10000,0.0,0
mn_l2,320,spatial_r3,71.42,71.42,71.42,0.0,50,10000,0.0,0
mn_l2,320,spatial_r4,71.86,71.86,71.86,0.0,50,10000,0.0,0
mn_l2,320,spatial_r8,70.32,70.33,70.33,0.01,50,10000,0.0,0
mn_l4,160,global,65.29,65.29,65.29,0.0,200,10000,0.0,0
mn_l4,160,spatial_r1,66.13,66.15,66.15,0.02,200,10000,0.0,0
mn_l4,160,spatial_r2,68.49,68.5,68.5,0.01,200,10000,0.0,0
mn_l4,160,spatial_r3,67.92,67.92,67.92,0.0,200,10000,0.0,0
mn_l4,160,spatial_r4,68.37,68.36,68.36,-0.01,200,10000,0.0,0
mn_l4,160,spatial_r8,66.71,66.72,66.72,0.01,200,10000,0.0,0
mn_l4,192,global,69.87,69.87,69.87,0.0,200,10000,0.0,0
mn_l4,192,spatial_r1,69.88,69.88,69.88,0.0,200,10000,0.0,0
mn_l4,192,spatial_r2,71.15,71.16,71.16,0.01,200,10000,0.0,0
mn_l4,192,spatial_r3,71.27,71.27,71.27,0.0,200,10000,0.0,0
mn_l4,192,spatial_r4,71.08,71.08,71.08,0.0,200,10000,0.0,0
mn_l4,192,spatial_r8,68.81,68.8,68.8,-0.01,200,10000,0.0,0
mn_l4,224,global,68.21,68.2,68.2,-0.01,200,10000,0.0,0
mn_l4,224,spatial_r1,67.78,67.78,67.78,0.0,200,10000,0.0,0
mn_l4,224,spatial_r2,70.58,70.59,70.59,0.01,200,10000,0.0,0
mn_l4,224,spatial_r3,70.52,70.52,70.52,0.0,200,10000,0.0,0
mn_l4,224,spatial_r4,70.48,70.48,70.48,0.0,200,10000,0.0,0
mn_l4,224,spatial_r8,68.09,68.1,68.1,0.01,200,10000,0.0,0
mn_l4,256,global,67.35,67.34,67.34,-0.01,100,10000,0.0,0
mn_l4,256,spatial_r1,66.94,66.93,66.93,-0.01,100,10000,0.0,0
mn_l4,256,spatial_r2,67.94,67.94,67.94,0.0,100,10000,0.0,0
mn_l4,256,spatial_r3,69.4,69.41,69.41,0.01,100,10000,0.0,0
mn_l4,256,spatial_r4,68.84,68.83,68.83,-0.01,100,10000,0.0,0
mn_l4,256,spatial_r8,67.58,67.58,67.58,0.0,100,10000,0.0,0
mn_l4,320,global,66.05,66.06,66.06,0.01,50,10000,0.0,0
mn_l4,320,spatial_r1,66.86,66.87,66.87,0.01,50,10000,0.0,0
mn_l4,320,spatial_r2,68.98,68.99,68.99,0.01,50,10000,0.0,0
mn_l4,320,spatial_r3,68.83,68.83,68.83,0.0,50,10000,0.0,0
mn_l4,320,spatial_r4,69.28,69.29,69.29,0.01,50,10000,0.0,0
mn_l4,320,spatial_r8,68.07,68.09,68.09,0.02,50,10000,0.0,0
