contrast,n_seeds,mean_delta_pp,std_delta_pp,seed42_delta,seed43_delta,seed44_delta
historical:r3-global,3,2.1099999999999994,0.8727542609463419,3.019999999999996,1.2800000000000011,2.030000000000001
historical:r3-flat8,3,1.2966666666666669,0.47479820274863266,1.8299999999999983,1.1400000000000006,0.9200000000000017
historical:r3-degree,3,1.4233333333333367,0.2995552258488125,1.6700000000000017,1.0900000000000034,1.5100000000000051
rowwise:r3-global,3,1.6333333333333304,0.5081666393352996,1.8700000000000045,1.0499999999999972,1.9799999999999898
rowwise:r3-flat8,3,0.769999999999996,0.2861817604250804,0.5,0.7399999999999949,1.0699999999999932
rowwise:r3-degree,3,1.1933333333333376,0.13203534880225046,1.0500000000000114,1.2199999999999989,1.3100000000000023
global:rowwise-historical,3,0.29333333333333655,0.27790885796125986,0.6099999999999994,0.09000000000000341,0.18000000000000682
flat8:rowwise-historical,3,0.34333333333333843,0.41137979208188413,0.7900000000000063,0.2600000000000051,-0.01999999999999602
r3:rowwise-historical,3,-0.18333333333333238,0.3370954365359001,-0.539999999999992,-0.14000000000000057,0.12999999999999545
degree:rowwise-historical,3,0.046666666666666856,0.30138568866708243,0.0799999999999983,-0.269999999999996,0.3299999999999983
