job,selector,geometry,seed,epoch199_ema_top1,best_ema_top1,best_epoch
historical_degree_s42,historical,degree,42,69.88,69.88,199
historical_degree_s43,historical,degree,43,68.74,68.74,199
historical_degree_s44,historical,degree,44,68.88,68.88,199
historical_flat8_s42,historical,flat8,42,69.72,69.72,199
historical_flat8_s43,historical,flat8,43,68.69,68.69,199
historical_flat8_s44,historical,flat8,44,69.47,69.47,199
historical_global_s42,historical,global,42,68.53,68.57,197
historical_global_s43,historical,global,43,68.55,68.56,198
historical_global_s44,historical,global,44,68.36,68.36,199
historical_r3_s42,historical,r3,42,71.55,71.56,198
historical_r3_s43,historical,r3,43,69.83,69.83,199
historical_r3_s44,historical,r3,44,70.39,70.4,196
rowwise_degree_s42,rowwise,degree,42,69.96,69.96,199
rowwise_degree_s43,rowwise,degree,43,68.47,68.49,197
rowwise_degree_s44,rowwise,degree,44,69.21,69.21,199
rowwise_flat8_s42,rowwise,flat8,42,70.51,70.51,199
rowwise_flat8_s43,rowwise,flat8,43,68.95,68.95,199
rowwise_flat8_s44,rowwise,flat8,44,69.45,69.45,199
rowwise_global_s42,rowwise,global,42,69.14,69.16,198
rowwise_global_s43,rowwise,global,43,68.64,68.64,199
rowwise_global_s44,rowwise,global,44,68.54,68.54,199
rowwise_r3_s42,rowwise,r3,42,71.01,71.01,199
rowwise_r3_s43,rowwise,r3,43,69.69,69.69,199
rowwise_r3_s44,rowwise,r3,44,70.52,70.52,199
