epoch,train_loss,train_top1,train_top5,train_lr,train_lr_min,train_lr_max,train_throughput,train_mem_allocated_mb,train_mem_reserved_mb,train_effective_lambda,train_retained_tokens,train_soft_topk_aux_weight,eval_loss,eval_top1,eval_top5,eval_throughput,eval_mem_allocated_mb,eval_mem_reserved_mb,eval_top1_full_compression
0,4.619411861419677,0.0,0.0,1e-06,1e-06,1e-06,431.97594296206745,33480.77685546875,35538.0,2.0,392,0.0,4.666875,1.54,6.52,1340.5905784408067,3293.255859375,35538.0,0.0
1,4.52261830329895,0.0,0.0,5.0950000000000005e-05,5.0950000000000005e-05,5.0950000000000005e-05,437.9242264869897,33472.064453125,35540.0,2.0,392,0.0,4.615390625,2.19,8.13,1293.6385140767063,3293.255859375,35540.0,0.0
2,4.439556867599487,0.0,0.0,0.00010090000000000001,0.00010090000000000001,0.00010090000000000001,438.5050605493228,33472.064453125,35540.0,2.0,392,0.0,4.53890625,3.18,10.89,1294.2573298826833,3293.255859375,35540.0,0.0
3,4.408735977172851,0.0,0.0,0.00015085000000000003,0.00015085000000000003,0.00015085000000000003,437.71312483019364,33472.064453125,35540.0,2.0,392,0.0,4.451171875,4.33,15.08,1325.5066061001878,3293.255859375,35540.0,0.0
4,4.386791379928589,0.0,0.0,0.00020080000000000003,0.00020080000000000003,0.00020080000000000003,438.0252801136255,33472.064453125,35540.0,2.0,392,0.0,4.36421875,5.7,19.76,1304.252497171759,3293.255859375,35540.0,0.0
5,4.365805700302124,0.0,0.0,0.00025075000000000005,0.00025075000000000005,0.00025075000000000005,437.87068001910495,33472.064453125,35540.0,2.0,392,0.0,4.287421875,7.0,23.46,1321.1325890715543,3293.255859375,35540.0,0.0
6,4.352564781188965,0.0,0.0,0.0003007000000000001,0.0003007000000000001,0.0003007000000000001,438.27772264872135,33472.064453125,35540.0,2.0,392,0.0,4.219921875,8.45,27.31,1345.2966893891144,3293.255859375,35540.0,0.0
7,4.346172296524048,0.0,0.0,0.0003506500000000001,0.0003506500000000001,0.0003506500000000001,438.2352269716844,33472.064453125,35540.0,2.0,392,0.0,4.16359375,9.73,29.56,1332.3416990852138,3293.255859375,35540.0,0.0
8,4.347896867752075,0.0,0.0,0.0004006000000000001,0.0004006000000000001,0.0004006000000000001,438.1088574515029,33472.064453125,35540.0,2.0,392,0.0,4.114453125,10.65,31.51,1309.3772745230165,3293.255859375,35540.0,0.0
9,4.317629333496094,0.0,0.0,0.0004505500000000001,0.0004505500000000001,0.0004505500000000001,437.87859019568856,33472.064453125,35540.0,2.0,392,0.0,4.0701171875,11.68,32.97,1342.2917935974954,3293.255859375,35540.0,0.0
10,4.325128011703491,0.0,0.0,0.0005005000000000001,0.0005005000000000001,0.0005005000000000001,437.5331156433169,33472.064453125,35540.0,2.0,392,0.0,4.0309765625,12.44,34.36,1336.6472388842208,3293.255859375,35540.0,0.0
11,4.317538135528564,0.0,0.0,0.0005504500000000001,0.0005504500000000001,0.0005504500000000001,437.444746488428,33472.064453125,35540.0,2.0,392,0.0,3.9919921875,13.2,35.81,1332.7543442767815,3293.255859375,35540.0,0.0
12,4.3243025760650635,0.0,0.0,0.0006004000000000002,0.0006004000000000002,0.0006004000000000002,438.5989999943971,33472.064453125,35540.0,2.0,392,0.0,3.95203125,13.82,37.4,1343.8216877228326,3293.255859375,35540.0,0.0
13,4.315477680206299,0.0,0.0,0.0006503500000000002,0.0006503500000000002,0.0006503500000000002,437.4196678967211,33472.064453125,35540.0,2.0,392,0.0,3.9118359375,14.42,38.6,1309.9096980477234,3293.255859375,35540.0,0.0
14,4.318082529067993,0.0,0.0,0.0007003000000000002,0.0007003000000000002,0.0007003000000000002,438.32504542067494,33472.064453125,35540.0,2.0,392,0.0,3.8711328125,14.97,39.91,1333.8323976936613,3293.255859375,35540.0,0.0
15,4.31245991897583,0.0,0.0,0.0007502500000000002,0.0007502500000000002,0.0007502500000000002,438.1784247722651,33472.064453125,35540.0,2.0,392,0.0,3.829140625,15.64,41.52,1320.2850941771305,3293.255859375,35540.0,0.0
16,4.304084820747375,0.0,0.0,0.0008002000000000002,0.0008002000000000002,0.0008002000000000002,437.20990452619844,33472.064453125,35540.0,2.0,392,0.0,3.7865625,16.41,42.78,1348.4132923467694,3293.255859375,35540.0,0.0
17,4.31108163356781,0.0,0.0,0.0008501500000000001,0.0008501500000000001,0.0008501500000000001,438.63377802945394,33472.064453125,35540.0,2.0,392,0.0,3.744609375,17.17,44.26,1338.033956164157,3293.255859375,35540.0,0.0
18,4.2977630863189695,0.0,0.0,0.0009001000000000001,0.0009001000000000001,0.0009001000000000001,437.82472674201443,33472.064453125,35540.0,2.0,392,0.0,3.7022265625,18.0,45.65,1317.5844916780968,3293.255859375,35540.0,0.0
19,4.296542830467224,0.0,0.0,0.0009500500000000001,0.0009500500000000001,0.0009500500000000001,437.33885220940084,33472.064453125,35540.0,2.0,392,0.0,3.662734375,18.6,46.94,1326.1418276394152,3293.255859375,35540.0,0.0
