epoch,train_loss,train_top1,train_top5,train_lr,train_lr_min,train_lr_max,train_throughput,train_mem_allocated_mb,train_mem_reserved_mb,train_effective_lambda,train_retained_tokens,train_soft_topk_aux_weight,eval_loss,eval_top1,eval_top5,eval_throughput,eval_mem_allocated_mb,eval_mem_reserved_mb,eval_top1_full_compression
0,4.619488012313843,0.0,0.0,1e-06,1e-06,1e-06,385.1611164246351,30708.85546875,37562.0,2.0,392,0.0,4.6665625,1.5,6.57,1244.965918930929,5359.69677734375,37562.0,0.0
1,4.522364213943481,0.0,0.0,5.0950000000000005e-05,5.0950000000000005e-05,5.0950000000000005e-05,391.4531034262874,30698.904296875,37564.0,2.0,392,0.0,4.615546875,2.21,8.07,1249.9510888522964,5359.69677734375,37564.0,0.0
2,4.4390389976501465,0.0,0.0,0.00010090000000000001,0.00010090000000000001,0.00010090000000000001,390.6318387922883,30698.904296875,37564.0,2.0,392,0.0,4.539453125,3.2,10.88,1244.3074243041847,5359.69677734375,37564.0,0.0
3,4.408246566772461,0.0,0.0,0.00015085000000000003,0.00015085000000000003,0.00015085000000000003,391.586105314452,30698.904296875,37564.0,2.0,392,0.0,4.45171875,4.38,15.16,1205.07274144033,5359.69677734375,37564.0,0.0
4,4.386028064727784,0.0,0.0,0.00020080000000000003,0.00020080000000000003,0.00020080000000000003,392.60852419192764,30698.904296875,37564.0,2.0,392,0.0,4.365,5.71,19.63,1241.7185168939784,5359.69677734375,37564.0,0.0
5,4.365162269592285,0.0,0.0,0.00025075000000000005,0.00025075000000000005,0.00025075000000000005,391.403318031282,30698.904296875,37564.0,2.0,392,0.0,4.2884375,6.96,23.41,1230.3331103992866,5359.69677734375,37564.0,0.0
6,4.351948162078857,0.0,0.0,0.0003007000000000001,0.0003007000000000001,0.0003007000000000001,390.9441096718847,30698.904296875,37564.0,2.0,392,0.0,4.22171875,8.4,27.4,1226.4461336763313,5359.69677734375,37564.0,0.0
7,4.346026977539062,0.0,0.0,0.0003506500000000001,0.0003506500000000001,0.0003506500000000001,391.33582434151737,30698.904296875,37564.0,2.0,392,0.0,4.165703125,9.72,29.55,1247.0132495811852,5359.69677734375,37564.0,0.0
8,4.345994007110596,0.0,0.0,0.0004006000000000001,0.0004006000000000001,0.0004006000000000001,391.73118798104446,30698.904296875,37564.0,2.0,392,0.0,4.11640625,10.6,31.27,1245.5393309634167,5359.69677734375,37564.0,0.0
9,4.316324081420898,0.0,0.0,0.0004505500000000001,0.0004505500000000001,0.0004505500000000001,391.7310438317714,30698.904296875,37564.0,2.0,392,0.0,4.0720703125,11.62,32.88,1199.6099176467706,5359.69677734375,37564.0,0.0
10,4.321549711227417,0.0,0.0,0.0005005000000000001,0.0005005000000000001,0.0005005000000000001,391.26053073127406,30698.904296875,37564.0,2.0,392,0.0,4.03171875,12.35,34.41,1229.8040797860401,5359.69677734375,37564.0,0.0
