epoch,train_loss,train_top1,train_top5,train_lr,train_lr_min,train_lr_max,train_throughput,train_mem_allocated_mb,train_mem_reserved_mb,train_effective_lambda,train_retained_tokens,train_soft_topk_aux_weight,eval_loss,eval_top1,eval_top5,eval_throughput,eval_mem_allocated_mb,eval_mem_reserved_mb,eval_top1_full_compression
0,4.6193580703735355,0.0,0.0,1e-06,1e-06,1e-06,425.56607031384976,33481.6728515625,35546.0,2.0,392,0.0,4.67390625,1.02,4.18,1335.82005890686,3292.1396484375,35546.0,0.0
1,4.509074640274048,0.0,0.0,5.0950000000000005e-05,5.0950000000000005e-05,5.0950000000000005e-05,438.2159646741203,33472.04150390625,35548.0,2.0,392,0.0,4.62390625,1.19,5.62,1339.195951259738,3292.1396484375,35548.0,0.0
2,4.437361612319946,0.0,0.0,0.00010090000000000001,0.00010090000000000001,0.00010090000000000001,437.7619257890969,33472.04150390625,35548.0,2.0,392,0.0,4.5503125,2.1,8.86,1318.2267659021893,3292.1396484375,35548.0,0.0
3,4.41192744255066,0.0,0.0,0.00015085000000000003,0.00015085000000000003,0.00015085000000000003,438.73678954566805,33472.04150390625,35548.0,2.0,392,0.0,4.462578125,4.14,14.59,1333.6745393337428,3292.1396484375,35548.0,0.0
4,4.3781891746521,0.0,0.0,0.00020080000000000003,0.00020080000000000003,0.00020080000000000003,438.007129466461,33472.04150390625,35548.0,2.0,392,0.0,4.3759375,6.25,20.93,1320.9120750138018,3292.1396484375,35548.0,0.0
5,4.369125862121582,0.0,0.0,0.00025075000000000005,0.00025075000000000005,0.00025075000000000005,438.40437016294806,33472.04150390625,35548.0,2.0,392,0.0,4.297578125,7.93,25.68,1324.4611185472884,3292.1396484375,35548.0,0.0
6,4.366339618682861,0.0,0.0,0.0003007000000000001,0.0003007000000000001,0.0003007000000000001,438.8491877972633,33472.04150390625,35548.0,2.0,392,0.0,4.230078125,9.6,28.13,1361.6588490583306,3292.1396484375,35548.0,0.0
7,4.3356288719177245,0.0,0.0,0.0003506500000000001,0.0003506500000000001,0.0003506500000000001,438.6552818722547,33472.04150390625,35548.0,2.0,392,0.0,4.17171875,10.21,30.04,1341.7647893014139,3292.1396484375,35548.0,0.0
8,4.342859886169434,0.0,0.0,0.0004006000000000001,0.0004006000000000001,0.0004006000000000001,439.0457037380282,33472.04150390625,35548.0,2.0,392,0.0,4.12234375,10.86,31.69,1336.198848422796,3292.1396484375,35548.0,0.0
9,4.341187887191772,0.0,0.0,0.0004505500000000001,0.0004505500000000001,0.0004505500000000001,438.45476640969576,33472.04150390625,35548.0,2.0,392,0.0,4.0785546875,11.52,33.61,1326.9750714130712,3292.1396484375,35548.0,0.0
10,4.3118801612854005,0.0,0.0,0.0005005000000000001,0.0005005000000000001,0.0005005000000000001,438.6367661282542,33472.04150390625,35548.0,2.0,392,0.0,4.0370703125,12.09,34.35,1355.571147120811,3292.1396484375,35548.0,0.0
11,4.328047487258911,0.0,0.0,0.0005504500000000001,0.0005504500000000001,0.0005504500000000001,438.48475778024925,33472.04150390625,35548.0,2.0,392,0.0,3.998984375,12.68,35.66,1362.344645420286,3292.1396484375,35548.0,0.0
12,4.314557248115539,0.0,0.0,0.0006004000000000002,0.0006004000000000002,0.0006004000000000002,164.62235320051835,33472.04150390625,35548.0,2.0,392,0.0,3.9608203125,13.2,36.58,1319.1055954925962,3292.1396484375,35548.0,0.0
13,4.308754306793213,0.0,0.0,0.0006503500000000002,0.0006503500000000002,0.0006503500000000002,438.6372551271138,33472.04150390625,35548.0,2.0,392,0.0,3.9234375,13.76,37.89,1337.5618143001145,3292.1396484375,35548.0,0.0
14,4.316162047386169,0.0,0.0,0.0007003000000000002,0.0007003000000000002,0.0007003000000000002,438.25187348814063,33472.04150390625,35548.0,2.0,392,0.0,3.884765625,14.53,39.12,1331.4400362745084,3292.1396484375,35548.0,0.0
15,4.299109464645386,0.0,0.0,0.0007502500000000002,0.0007502500000000002,0.0007502500000000002,438.5100430099917,33472.04150390625,35548.0,2.0,392,0.0,3.843671875,15.53,40.4,1320.850344268514,3292.1396484375,35548.0,0.0
16,4.308071168899536,0.0,0.0,0.0008002000000000002,0.0008002000000000002,0.0008002000000000002,439.0970069481426,33472.04150390625,35548.0,2.0,392,0.0,3.8045703125,16.42,41.6,1345.6509109659457,3292.1396484375,35548.0,0.0
17,4.281477703094483,0.0,0.0,0.0008501500000000001,0.0008501500000000001,0.0008501500000000001,438.3048234411771,33472.04150390625,35548.0,2.0,392,0.0,3.7673828125,17.24,42.82,1320.4293646991387,3292.1396484375,35548.0,0.0
18,4.283625744819641,0.0,0.0,0.0009001000000000001,0.0009001000000000001,0.0009001000000000001,438.5069860359741,33472.04150390625,35548.0,2.0,392,0.0,3.7315234375,17.89,43.84,1331.329437334431,3292.1396484375,35548.0,0.0
19,4.274200284004212,0.0,0.0,0.0009500500000000001,0.0009500500000000001,0.0009500500000000001,437.73194824305295,33472.04150390625,35548.0,2.0,392,0.0,3.695390625,18.49,45.16,1336.100821728458,3292.1396484375,35548.0,0.0
20,4.269126498222351,0.0,0.0,0.0009779754323328191,0.0009779754323328191,0.0009779754323328191,436.6108019047851,33702.6591796875,35548.0,2.0,392,0.0025,3.6596484375,19.44,46.6,1325.784851840689,3292.1396484375,35548.0,0.0
21,4.257179873466492,0.0,0.0,0.0009757384114723954,0.0009757384114723954,0.0009757384114723954,435.6152263386239,33702.6591796875,35548.0,2.0,392,0.005,3.62546875,20.34,47.98,1341.2927564440065,3292.1396484375,35548.0,0.0
22,4.231742057800293,0.0,0.0,0.0009733963460294015,0.0009733963460294015,0.0009733963460294015,435.8084312358209,33702.6591796875,35548.0,2.0,392,0.0075000000000000015,3.594296875,21.14,49.38,1339.1395116530696,3292.1396484375,35548.0,0.0
