epoch,train_loss,train_top1,train_top5,train_lr,train_lr_min,train_lr_max,train_throughput,train_mem_allocated_mb,train_mem_reserved_mb,train_effective_lambda,train_retained_tokens,train_soft_topk_aux_weight,eval_loss,eval_top1,eval_top5,eval_throughput,eval_mem_allocated_mb,eval_mem_reserved_mb,eval_top1_full_compression
0,4.619364440917969,0.0,0.0,1e-06,1e-06,1e-06,429.3948730139303,31864.1494140625,33548.0,2.0,392,0.0,4.674375,0.99,4.1,1316.0296036879292,3194.89892578125,33548.0,0.0
1,4.509513669967651,0.0,0.0,5.0950000000000005e-05,5.0950000000000005e-05,5.0950000000000005e-05,443.0348773838796,31854.50537109375,33550.0,2.0,392,0.0,4.623828125,1.13,5.6,1345.4951634334138,3194.89892578125,33550.0,0.0
2,4.437842109680176,0.0,0.0,0.00010090000000000001,0.00010090000000000001,0.00010090000000000001,443.9002926576815,31854.50537109375,33550.0,2.0,392,0.0,4.550234375,2.2,8.85,1338.1019139914863,3194.89892578125,33550.0,0.0
3,4.412400863647461,0.0,0.0,0.00015085000000000003,0.00015085000000000003,0.00015085000000000003,443.1415557238897,31854.50537109375,33550.0,2.0,392,0.0,4.4628125,4.26,14.7,1334.436905418856,3194.89892578125,33550.0,0.0
4,4.3789447402954105,0.0,0.0,0.00020080000000000003,0.00020080000000000003,0.00020080000000000003,442.6124716389494,31854.50537109375,33550.0,2.0,392,0.0,4.376484375,6.44,21.03,1320.1709387289936,3194.89892578125,33550.0,0.0
5,4.3700086154937745,0.0,0.0,0.00025075000000000005,0.00025075000000000005,0.00025075000000000005,443.0823652896627,31854.50537109375,33550.0,2.0,392,0.0,4.29859375,8.04,25.63,1336.5057909460047,3194.89892578125,33550.0,0.0
6,4.365513288497925,0.0,0.0,0.0003007000000000001,0.0003007000000000001,0.0003007000000000001,443.50432571689635,31854.50537109375,33550.0,2.0,392,0.0,4.23203125,9.58,28.19,1344.907808666517,3194.89892578125,33550.0,0.0
7,4.335296262741089,0.0,0.0,0.0003506500000000001,0.0003506500000000001,0.0003506500000000001,442.43836850902244,31854.50537109375,33550.0,2.0,392,0.0,4.174453125,10.41,30.07,1305.4896373610154,3194.89892578125,33550.0,0.0
8,4.345491756439209,0.0,0.0,0.0004006000000000001,0.0004006000000000001,0.0004006000000000001,442.9082365949404,31854.50537109375,33550.0,2.0,392,0.0,4.125859375,10.94,31.58,1334.4928644009485,3194.89892578125,33550.0,0.0
9,4.3417361507415775,0.0,0.0,0.0004505500000000001,0.0004505500000000001,0.0004505500000000001,442.49994899064893,31854.50537109375,33550.0,2.0,392,0.0,4.083046875,11.63,33.06,1322.9897375736928,3194.89892578125,33550.0,0.0
10,4.309256345748901,0.0,0.0,0.0005005000000000001,0.0005005000000000001,0.0005005000000000001,441.02980191245723,31854.50537109375,33550.0,2.0,392,0.0,4.043125,12.18,34.28,1324.9347696977602,3194.89892578125,33550.0,0.0
11,4.326295799255371,0.0,0.0,0.0005504500000000001,0.0005504500000000001,0.0005504500000000001,411.95311804928605,31854.50537109375,33550.0,2.0,392,0.0,4.005703125,12.88,35.52,1297.1450928528063,3194.89892578125,33550.0,0.0
12,4.31495136833191,0.0,0.0,0.0006004000000000002,0.0006004000000000002,0.0006004000000000002,164.5774350996392,31854.50537109375,33550.0,2.0,392,0.0,3.968671875,13.47,36.64,1335.3218444762067,3194.89892578125,33550.0,0.0
13,4.312287865638733,0.0,0.0,0.0006503500000000002,0.0006503500000000002,0.0006503500000000002,443.9031988457609,31854.50537109375,33550.0,2.0,392,0.0,3.928828125,14.09,37.98,1328.8684814323417,3194.89892578125,33550.0,0.0
14,4.317821718215942,0.0,0.0,0.0007003000000000002,0.0007003000000000002,0.0007003000000000002,443.2325134171943,31854.50537109375,33550.0,2.0,392,0.0,3.8886328125,14.79,39.48,1327.9849245058563,3194.89892578125,33550.0,0.0
15,4.298524742126465,0.0,0.0,0.0007502500000000002,0.0007502500000000002,0.0007502500000000002,443.42670953747347,31854.50537109375,33550.0,2.0,392,0.0,3.8475,15.61,40.8,1314.0606295711325,3194.89892578125,33550.0,0.0
16,4.30937763595581,0.0,0.0,0.0008002000000000002,0.0008002000000000002,0.0008002000000000002,442.97139542427703,31854.50537109375,33550.0,2.0,392,0.0,3.8078515625,16.46,42.31,1337.810751327555,3194.89892578125,33550.0,0.0
