epoch,train_loss,train_top1,train_top5,train_lr,train_lr_min,train_lr_max,train_throughput,train_mem_allocated_mb,train_mem_reserved_mb,train_effective_lambda,train_retained_tokens,train_soft_topk_aux_weight,eval_loss,eval_top1,eval_top5,eval_throughput,eval_mem_allocated_mb,eval_mem_reserved_mb,eval_top1_full_compression
0,4.616089445114135,0.0,0.0,1e-06,1e-06,1e-06,425.3429968720004,33454.21337890625,35520.0,2.0,392,0.0,4.664140625,0.69,5.02,1253.0404717376352,3292.1396484375,35520.0,0.0
1,4.521536268234253,0.0,0.0,5.0950000000000005e-05,5.0950000000000005e-05,5.0950000000000005e-05,430.3494279501832,33445.18359375,35520.0,2.0,392,0.0,4.614921875,1.09,6.32,1228.9933264111507,3292.1396484375,35520.0,0.0
2,4.438827207565308,0.0,0.0,0.00010090000000000001,0.00010090000000000001,0.00010090000000000001,431.1674311250494,33445.18359375,35520.0,2.0,392,0.0,4.54421875,2.12,9.57,1240.3041724575614,3292.1396484375,35520.0,0.0
3,4.403039041519165,0.0,0.0,0.00015085000000000003,0.00015085000000000003,0.00015085000000000003,431.03627941027725,33445.18359375,35520.0,2.0,392,0.0,4.46171875,3.75,14.35,1232.470921862276,3292.1396484375,35520.0,0.0
4,4.375239908218384,0.0,0.0,0.00020080000000000003,0.00020080000000000003,0.00020080000000000003,431.58785881732547,33445.18359375,35520.0,2.0,392,0.0,4.379375,5.86,20.26,1232.6469539148943,3292.1396484375,35520.0,0.0
5,4.372860622406006,0.0,0.0,0.00025075000000000005,0.00025075000000000005,0.00025075000000000005,431.78831633135815,33445.18359375,35520.0,2.0,392,0.0,4.305078125,8.04,25.7,1235.267615144426,3292.1396484375,35520.0,0.0
6,4.3539487037658695,0.0,0.0,0.0003007000000000001,0.0003007000000000001,0.0003007000000000001,431.6663193860596,33445.18359375,35520.0,2.0,392,0.0,4.239296875,9.34,28.51,1245.300659376614,3292.1396484375,35520.0,0.0
7,4.336238641738891,0.0,0.0,0.0003506500000000001,0.0003506500000000001,0.0003506500000000001,430.4646961258362,33445.18359375,35520.0,2.0,392,0.0,4.178984375,10.31,30.78,1272.5628395378765,3292.1396484375,35520.0,0.0
8,4.336304468154907,0.0,0.0,0.0004006000000000001,0.0004006000000000001,0.0004006000000000001,431.073836225032,33445.18359375,35520.0,2.0,392,0.0,4.12453125,11.3,32.06,1241.9053640175623,3292.1396484375,35520.0,0.0
9,4.327998622894287,0.0,0.0,0.0004505500000000001,0.0004505500000000001,0.0004505500000000001,430.8384515864686,33445.18359375,35520.0,2.0,392,0.0,4.0744921875,12.16,33.48,1243.0355121716038,3292.1396484375,35520.0,0.0
