source,date,model,radius,resolution,batch,mode,median_seconds,iqr_seconds,images_per_second,peak_allocated_gib,parameters_all,input_patches,final_carriers,time_change_vs_dense_pct,throughput_change_vs_dense_pct,isolation_clean,steps,warmup,device,torch,weights,scope
40_efficiency/raw/bench_clean_2026-09-05.json,2026-09-05T23:16:52,mergenet,3.0,224,64,train_fwd_bwd,0.154866,6.5e-05,413.3,10.071,23097064,784,392,3.5484,-3.4268,True,50,30,NVIDIA H20-3e,2.7.1+cu118,random initialisation; no checkpoint,synthetic model-only forward or CE+backward+AdamW step
40_efficiency/raw/bench_clean_2026-09-05.json,2026-09-05T23:16:52,mergenet,3.0,224,64,inference,0.045712,7.3e-05,1400.1,1.125,23097064,784,392,7.0965,-6.6263,True,50,30,NVIDIA H20-3e,2.7.1+cu118,random initialisation; no checkpoint,synthetic model-only forward or CE+backward+AdamW step
40_efficiency/raw/bench_clean_2026-09-05.json,2026-09-05T23:16:52,deit_p8,,224,64,train_fwd_bwd,0.149559,0.000156,427.9,8.555,22055272,784,,0.0,0.0,True,50,30,NVIDIA H20-3e,2.7.1+cu118,random initialisation; no checkpoint,synthetic model-only forward or CE+backward+AdamW step
40_efficiency/raw/bench_clean_2026-09-05.json,2026-09-05T23:16:52,deit_p8,,224,64,inference,0.042683,9.9e-05,1499.4,0.799,22055272,784,,0.0,0.0,True,50,30,NVIDIA H20-3e,2.7.1+cu118,random initialisation; no checkpoint,synthetic model-only forward or CE+backward+AdamW step
40_efficiency/raw/bench_clean_2026-09-05.json,2026-09-05T23:16:52,deit_p16,,224,64,train_fwd_bwd,0.037617,0.000103,1701.3,2.472,22050664,196,,-74.8481,297.5835,True,50,30,NVIDIA H20-3e,2.7.1+cu118,random initialisation; no checkpoint,synthetic model-only forward or CE+backward+AdamW step
40_efficiency/raw/bench_clean_2026-09-05.json,2026-09-05T23:16:52,deit_p16,,224,64,inference,0.00999,5e-06,6406.5,0.367,22050664,196,,-76.5949,327.2573,True,50,30,NVIDIA H20-3e,2.7.1+cu118,random initialisation; no checkpoint,synthetic model-only forward or CE+backward+AdamW step
40_efficiency/raw/bench_clean_224_2026-09-13.json,2026-09-13T19:10:40,mergenet,3.0,224,64,train_fwd_bwd,0.155588,0.000143,411.3,10.073,23097064,784,392,3.6265,-3.4996,True,50,30,NVIDIA H20-3e,2.7.1+cu118,random initialisation; no checkpoint,synthetic model-only forward or CE+backward+AdamW step
40_efficiency/raw/bench_clean_224_2026-09-13.json,2026-09-13T19:10:40,mergenet,3.0,224,64,inference,0.045817,5.7e-05,1396.9,1.124,23097064,784,392,7.4785,-6.9581,True,50,30,NVIDIA H20-3e,2.7.1+cu118,random initialisation; no checkpoint,synthetic model-only forward or CE+backward+AdamW step
40_efficiency/raw/bench_clean_224_2026-09-13.json,2026-09-13T19:10:40,deit_p8,,224,64,train_fwd_bwd,0.150143,0.000153,426.3,8.554,22055272,784,,0.0,0.0,True,50,30,NVIDIA H20-3e,2.7.1+cu118,random initialisation; no checkpoint,synthetic model-only forward or CE+backward+AdamW step
40_efficiency/raw/bench_clean_224_2026-09-13.json,2026-09-13T19:10:40,deit_p8,,224,64,inference,0.042629,5.7e-05,1501.3,0.8,22055272,784,,0.0,0.0,True,50,30,NVIDIA H20-3e,2.7.1+cu118,random initialisation; no checkpoint,synthetic model-only forward or CE+backward+AdamW step
40_efficiency/raw/bench_clean_224_2026-09-13.json,2026-09-13T19:10:40,deit_p16,,224,64,train_fwd_bwd,0.037729,7.6e-05,1696.3,2.476,22050664,196,,-74.8713,297.9512,True,50,30,NVIDIA H20-3e,2.7.1+cu118,random initialisation; no checkpoint,synthetic model-only forward or CE+backward+AdamW step
40_efficiency/raw/bench_clean_224_2026-09-13.json,2026-09-13T19:10:40,deit_p16,,224,64,inference,0.00997,5e-06,6419.2,0.368,22050664,196,,-76.6122,327.5727,True,50,30,NVIDIA H20-3e,2.7.1+cu118,random initialisation; no checkpoint,synthetic model-only forward or CE+backward+AdamW step
