run,model,resolution,patch_size,epochs_done,epochs_target,status,best_top1,best_epoch,best_top5_at_best_top1,final_top1,final_epoch,seed,world_size,batch_per_gpu,update_freq,effective_global_batch,microsteps_per_epoch,optimizer_steps_per_epoch,lr,warmup_epochs,ema_decay,crop_pct,drop_path_rate,weight_decay,dtem_spatial_radius,initial_checkpoint,source_summary,metric_column,img_size
s2_deit_p16_150e,deit_small_patch16_224,224,16,150,150,COMPLETE,77.1959999658203,149,93.50399999511718,77.1959999658203,149,42,8,128,1,1024,1251,1251,0.0005,5,0.99996,0.9,0.1,0.05,,,10_runs/stage2_150e_224/s2_deit_p16_150e/summary.csv,eval_top1,224
s2_deit_p8_150e,deit_small_patch16_224,224,8,150,150,COMPLETE,79.9920000024414,149,95.04000001220705,79.9920000024414,149,42,8,128,1,1024,1251,1251,0.0005,5,0.99996,0.9,0.1,0.05,,,10_runs/stage2_150e_224/s2_deit_p8_150e/summary.csv,eval_top1,224
s2_mn_flat_w8_150e,mergenet_small_cls,224,8,150,150,COMPLETE,78.29000003417968,148,94.34999999267578,78.27800003417968,149,42,8,128,1,1024,1251,1251,0.0005,5,0.99996,0.9,0.1,0.05,,,10_runs/stage2_150e_224/s2_mn_flat_w8_150e/summary.csv,eval_top1,224
s2_mn_global_150e,mergenet_small_cls,224,8,150,150,COMPLETE,77.21800000976563,148,93.65599996826172,77.21600000976562,149,42,8,128,1,1024,1251,1251,0.0005,5,0.99996,0.9,0.1,0.05,,,10_runs/stage2_150e_224/s2_mn_global_150e/summary.csv,eval_top1,224
s2_mn_l4_150e,mergenet_small_cls,224,8,150,150,COMPLETE,78.36599998291015,149,94.22400004394532,78.36599998291015,149,42,8,128,1,1024,1251,1251,0.0005,5,0.99996,0.9,0.1,0.05,3.0,,10_runs/stage2_150e_224/s2_mn_l4_150e/summary.csv,eval_top1,224
s2_mn_r2_150e,mergenet_small_cls,224,8,150,150,COMPLETE,78.94199997558594,149,94.6780000415039,78.94199997558594,149,42,8,128,1,1024,1251,1251,0.0005,5,0.99996,0.9,0.1,0.05,2.0,,10_runs/stage2_150e_224/s2_mn_r2_150e/summary.csv,eval_top1,224
s2_mn_r3_150e,mergenet_small_cls,224,8,150,150,COMPLETE,78.88800000488281,149,94.73600004394532,78.88800000488281,149,42,8,128,1,1024,1251,1251,0.0005,5,0.99996,0.9,0.1,0.05,3.0,,10_runs/stage2_150e_224/s2_mn_r3_150e/summary.csv,eval_top1,224
s2_mn_r3_lr75_150e,mergenet_small_cls,224,8,150,150,COMPLETE,79.31600000976563,149,94.92600001708983,79.31600000976563,149,42,8,128,1,1024,1251,1251,0.00075,5,0.99996,0.9,0.1,0.05,3.0,,10_runs/stage2_150e_224/s2_mn_r3_lr75_150e/summary.csv,eval_top1,224
s3_deit_p16_300e,deit_small_patch16_224,224,16,300,300,COMPLETE,79.69199995361328,290,94.84799996826172,79.68399995361328,299,42,8,128,1,1024,1251,1251,0.0005,5,0.99996,0.9,0.1,0.05,,,10_runs/stage3_300e_224/s3_deit_p16_300e/summary.csv,eval_top1,224
s3_deit_p8_300e,deit_small_patch16_224,224,8,300,300,COMPLETE,82.24599997558593,277,95.98400006591795,82.1620000024414,299,42,8,128,1,1024,1251,1251,0.0005,5,0.99996,0.9,0.1,0.05,,,10_runs/stage3_300e_224/s3_deit_p8_300e/summary.csv,eval_top1,224
s3_mn_r3_lr75_300e,mergenet_small_cls,224,8,300,300,COMPLETE,81.36800000732421,291,95.6200000390625,81.34999998046875,299,42,8,128,1,1024,1251,1251,0.00075,5,0.99996,0.9,0.1,0.05,3.0,,10_runs/stage3_300e_224/s3_mn_r3_lr75_300e/summary.csv,eval_top1,224
s3_deit_p8_ft384_30e,deit_small_patch16_224,384,8,30,30,COMPLETE,82.97599997558594,7,96.35200001708984,82.84799995117187,29,42,8,32,4,1024,5004,1251,1e-05,1,0.9996,1.0,0.1,1e-08,,ema_weights.pth,10_runs/stage3_ft384_30e/s3_deit_p8_ft384_30e/summary.csv,eval_top1,384
s3_mn_r3_ft384_30e,mergenet_small_cls,384,8,30,30,COMPLETE,82.582,20,96.204,82.524,29,42,4,64,4,1024,5004,1251,1e-05,1,0.9996,1.0,0.1,1e-08,3.0,ema_weights.pth,10_runs/stage3_ft384_30e/s3_mn_r3_ft384_30e/summary.csv,eval_top1,384
s3_mn_r5_ft384_30e,mergenet_small_cls,384,8,30,30,COMPLETE,82.574,22,96.118,82.532,29,42,4,64,4,1024,5004,1251,1e-05,1,0.9996,1.0,0.1,1e-08,5.143,ema_weights.pth,10_runs/stage3_ft384_30e/s3_mn_r5_ft384_30e/summary.csv,eval_top1,384
s4_mn_lamcurr_150e,mergenet_small_cls,224,8,150,150,COMPLETE,79.31,148,94.752,79.292,149,42,4,256,1,1024,1251,1251,0.00075,5,0.99996,0.9,0.1,0.05,3.0,,10_runs/stage4_150e_224/s4_mn_lamcurr_150e/summary.csv,eval_top1_full_compression_when_defined,224
s4_mn_warm20_150e,mergenet_small_cls,224,8,150,150,COMPLETE,79.238,149,94.72,79.238,149,42,4,256,1,1024,1251,1251,0.00075,20,0.99996,0.9,0.1,0.05,3.0,,10_runs/stage4_150e_224/s4_mn_warm20_150e/summary.csv,eval_top1,224
s4_deit_ft512_15e,deit_small_patch16_224,512,8,15,15,COMPLETE,83.068,6,96.382,83.038,14,42,4,64,4,1024,5004,1251,1e-05,1,0.9996,1.0,0.1,1e-08,,ema_weights.pth,10_runs/stage4_ft512_15e/s4_deit_ft512_15e/summary.csv,eval_top1,512
s4_mn_ft512_15e,mergenet_small_cls,512,8,15,15,COMPLETE,82.618,6,96.148,82.48,14,42,4,64,4,1024,5004,1251,1e-05,1,0.9996,1.0,0.1,1e-08,6.857,ema_weights.pth,10_runs/stage4_ft512_15e/s4_mn_ft512_15e/summary.csv,eval_top1,512
s5_mn_dp07_150e,mergenet_small_cls,224,8,150,150,COMPLETE,79.534,149,94.876,79.534,149,42,4,256,1,1024,1251,1251,0.00075,5,0.99996,0.9,0.07,0.05,3.0,,10_runs/stage5_150e_224/s5_mn_dp07_150e/summary.csv,eval_top1,224
s5_mn_lr1e3_150e,mergenet_small_cls,224,8,150,150,COMPLETE,79.35,149,94.918,79.35,149,42,4,256,1,1024,1251,1251,0.001,5,0.99996,0.9,0.1,0.05,3.0,,10_runs/stage5_150e_224/s5_mn_lr1e3_150e/summary.csv,eval_top1,224
s5_mn_wd03_150e,mergenet_small_cls,224,8,140,150,PARTIAL_SNAPSHOT,79.054,139,94.678,79.054,139,42,4,256,1,1024,1251,1251,0.00075,5,0.99996,0.9,0.1,0.03,3.0,,10_runs/stage5_150e_224/s5_mn_wd03_150e/summary.csv,eval_top1,224
s6_deitB_p16_300e,deit_base_patch16_224,224,16,300,300,COMPLETE,80.442,179,94.95,78.566,299,42,4,256,1,1024,1251,1251,0.0005,5,0.99996,0.9,0.1,0.05,,,10_runs/stage6_300e_224/s6_deitB_p16_300e/summary.csv,eval_top1,224
s7_mn_deitinit_150e,mergenet_small_cls,224,8,105,150,PARTIAL_SNAPSHOT,79.206,104,94.702,79.206,104,42,4,256,1,1024,1251,1251,0.00075,5,0.99996,0.9,0.07,0.05,3.0,model_best.pth.tar,10_runs/stage7_150e_224/s7_mn_deitinit_150e/summary.csv,eval_top1,224
