epoch,train_loss,train_top1,train_top5,train_lr,train_lr_min,train_lr_max,train_throughput,train_mem_allocated_mb,train_mem_reserved_mb,train_effective_lambda,train_soft_topk_aux_weight,eval_loss,eval_top1,eval_top5,eval_throughput,eval_mem_allocated_mb,eval_mem_reserved_mb
0,6.928181556554941,0.0,0.0,1e-06,1e-06,1e-06,3124.556891252696,20765.7919921875,21758.0,2.0,0.0,6.97304125,0.082,0.506,8756.160077893697,1427.2509765625,1784.0
1,6.656050223570603,0.0,0.0,0.0001008,0.0001008,0.0001008,3363.88267425752,20766.75439453125,21824.0,2.0,0.0,6.964135,0.082,0.498,8708.811490778175,1429.6884765625,21824.0
2,6.387508777471689,0.0,0.0,0.0002006,0.0002006,0.0002006,3365.825057626508,20766.75439453125,21824.0,2.0,0.0,6.95457625,0.086,0.523999999961853,8553.721163924936,1429.6884765625,21824.0
3,6.17328744668227,0.0,0.0,0.00030040000000000004,0.00030040000000000004,0.00030040000000000004,3358.760775431316,20766.75439453125,21826.0,2.0,0.0,6.94505625,0.116,0.571999999961853,8696.435735737916,1429.6884765625,21826.0
4,6.065075104053204,0.0,0.0,0.0004002,0.0004002,0.0004002,3359.1114530006967,20766.75439453125,21826.0,2.0,0.0,6.93591,0.158,0.69,8639.149557350856,1429.6884765625,21826.0
5,5.858113875755897,0.0,0.0,0.000498657864365227,0.000498657864365227,0.000498657864365227,3356.58779123826,20766.75439453125,21826.0,2.0,0.0,6.92881625,0.164,0.844,8675.336189381811,1429.6884765625,21826.0
6,5.692477684754592,0.0,0.0,0.000498068101822047,0.000498068101822047,0.000498068101822047,3358.283217283902,20766.75439453125,21826.0,2.0,0.0,6.92145625,0.218,0.9,8701.943039972966,1429.6884765625,21826.0
7,5.546058966563298,0.0,0.0,0.0004973717215759322,0.0004973717215759322,0.0004973717215759322,3352.170408337131,20766.75439453125,21826.0,2.0,0.0,6.91415125,0.232,0.9599999999809266,8474.479219977697,1429.6884765625,21826.0
8,5.36021769963778,0.0,0.0,0.0004965690290822737,0.0004965690290822737,0.0004965690290822737,3349.9082385491297,20766.75439453125,21826.0,2.0,0.0,6.8998325,0.2619999999809265,1.0159999999809266,8481.749826818215,1429.6884765625,21826.0
9,5.27707866521982,0.0,0.0,0.0004956603764285287,0.0004956603764285287,0.0004956603764285287,3358.1419316051447,20766.75439453125,21826.0,2.0,0.0,6.88288625,0.30999999998092653,1.111999999923706,8594.054017726154,1429.6884765625,21826.0
10,5.02928902552678,0.0,0.0,0.0004946461621797824,0.0004946461621797824,0.0004946461621797824,3337.4659557199157,20915.13720703125,21826.0,2.0,0.005,6.86338,0.319999999961853,1.2760000006866454,8662.827374962782,1429.6884765625,21826.0
11,5.0481231946211595,0.0,0.0,0.0004935268312039243,0.0004935268312039243,0.0004935268312039243,3340.0284123723673,20915.13720703125,21826.0,2.0,0.01,6.84140875,0.39199999996185303,1.5460000006866454,8515.249861429123,1429.6884765625,21826.0
12,4.972844674037053,0.0,0.0,0.0004923028744765145,0.0004923028744765145,0.0004923028744765145,3307.45627432005,20915.13720703125,21826.0,2.0,0.015000000000000003,6.81670625,0.4719999999809265,1.8439999998855592,8506.249084589916,1429.6884765625,21826.0
13,4.880167447603666,0.0,0.0,0.0004909748288654262,0.0004909748288654262,0.0004909748288654262,3288.70100849981,20915.13720703125,21826.0,2.0,0.02,6.78740375,0.5659999999809265,2.221999999923706,8695.768996079269,1429.6884765625,21826.0
14,4.831211145107563,0.0,0.0,0.0004895432768953564,0.0004895432768953564,0.0004895432768953564,3288.9186885401346,20915.13720703125,21828.0,2.0,0.025,6.75250375,0.7319999999809265,2.7379999999427795,8586.116498482554,1429.6884765625,21828.0
