epoch,train_loss,train_top1,train_top5,train_lr,train_lr_min,train_lr_max,train_throughput,train_mem_allocated_mb,train_mem_reserved_mb,train_effective_lambda,train_soft_topk_aux_weight,eval_loss,eval_top1,eval_top5,eval_throughput,eval_mem_allocated_mb,eval_mem_reserved_mb
0,6.933265209197998,0.0,0.0,1e-06,1e-06,1e-06,3054.1817109350245,13758.10009765625,14490.0,4.0,0.0,6.97639,0.132,0.604,8121.219762944178,1352.9814453125,1650.0
1,6.639031648635864,0.0,0.0,0.0001008,0.0001008,0.0001008,3163.865057532914,13760.98193359375,14572.0,4.0,0.0,6.9673125,0.136,0.6,8270.008144007119,1353.45068359375,14572.0
2,6.369548339110154,0.0,0.0,0.0002006,0.0002006,0.0002006,3161.843613112979,13758.53076171875,14572.0,4.0,0.0,6.95739375,0.12,0.632,8360.175711220198,1355.046875,14572.0
3,6.130642835910503,0.0,0.0,0.00030040000000000004,0.00030040000000000004,0.00030040000000000004,3166.1802402564567,13758.02587890625,14572.0,4.0,0.0,6.946595,0.13,0.644,8226.47826297929,1355.046875,14572.0
4,5.984646778840285,0.0,0.0,0.0004002,0.0004002,0.0004002,3163.9933450617937,13758.02587890625,14572.0,4.0,0.0,6.936755,0.154,0.744,8166.204363980561,1355.046875,14572.0
5,5.7655570690448465,0.0,0.0,0.000498657864365227,0.000498657864365227,0.000498657864365227,3163.4402498152913,13758.02587890625,14572.0,4.0,0.0,6.92852875,0.176,0.792,8154.631084514934,1355.046875,14572.0
6,5.566089593447172,0.0,0.0,0.000498068101822047,0.000498068101822047,0.000498068101822047,3151.900375611207,13758.02587890625,14572.0,4.0,0.0,6.921435,0.202,0.844,8313.722971704667,1355.046875,14572.0
7,5.409541900341328,0.0,0.0,0.0004973717215759322,0.0004973717215759322,0.0004973717215759322,3145.2386336079426,13758.02587890625,14572.0,4.0,0.0,6.91393,0.198,0.9039999999809265,8331.6544763307,1355.046875,14572.0
8,5.1982320455404425,0.0,0.0,0.0004965690290822737,0.0004965690290822737,0.0004965690290822737,3142.234511460663,13758.02587890625,14572.0,4.0,0.0,6.901745,0.222,1.0259999999427796,8248.567126748907,1355.046875,14572.0
9,5.12408815897428,0.0,0.0,0.0004956603764285287,0.0004956603764285287,0.0004956603764285287,3149.228674535099,13758.02587890625,14572.0,4.0,0.0,6.8858925,0.276,1.167999999885559,8285.820081854967,1355.046875,14572.0
