epoch,train_loss,train_top1,train_top5,train_lr,train_lr_min,train_lr_max,train_throughput,train_mem_allocated_mb,train_mem_reserved_mb,train_effective_lambda,train_soft_topk_aux_weight,eval_loss,eval_top1,eval_top5,eval_throughput,eval_mem_allocated_mb,eval_mem_reserved_mb
0,6.928147811156053,0.0,0.0,1e-06,1e-06,1e-06,3201.106099873187,20289.30078125,21042.0,2.0,0.0,6.973335,0.082,0.504,8464.861845667087,1508.31591796875,1776.0
1,6.656096898592436,0.0,0.0,0.0001008,0.0001008,0.0001008,3366.302787089647,20294.02783203125,21052.0,2.0,0.0,6.96385625,0.08,0.493999999961853,8624.87364879576,1510.75390625,21052.0
2,6.388211342004629,0.0,0.0,0.0002006,0.0002006,0.0002006,3369.2370029028652,20293.298828125,21052.0,2.0,0.0,6.95485625,0.086,0.519999999961853,8694.38716206129,1510.22607421875,21052.0
3,6.161498198142419,0.0,0.0,0.00030040000000000004,0.00030040000000000004,0.00030040000000000004,3371.0708823448895,20293.298828125,21052.0,2.0,0.0,6.94488375,0.112,0.581999999961853,8655.810087543232,1509.365234375,21052.0
4,6.040445419458242,0.0,0.0,0.0004002,0.0004002,0.0004002,3363.2111027940537,20292.025390625,21052.0,2.0,0.0,6.935725,0.156,0.6899999999809265,8317.610539953068,1509.35595703125,21052.0
5,5.820745889957134,0.0,0.0,0.000498657864365227,0.000498657864365227,0.000498657864365227,3361.629645698407,20293.298828125,21052.0,2.0,0.0,6.9278975,0.196,0.856,8566.171019357653,1509.18310546875,21052.0
6,5.635392335745005,0.0,0.0,0.000498068101822047,0.000498068101822047,0.000498068101822047,3359.479350259656,20292.134765625,21052.0,2.0,0.0,6.9211775,0.224,0.926,8536.802798923976,1510.15234375,21052.0
7,5.486708641052246,0.0,0.0,0.0004973717215759322,0.0004973717215759322,0.0004973717215759322,3363.356015509863,20293.298828125,21052.0,2.0,0.0,6.9148575,0.244,0.9439999999809265,8569.36154302707,1510.22607421875,21052.0
8,5.2854934472304125,0.0,0.0,0.0004965690290822737,0.0004965690290822737,0.0004965690290822737,3358.619172441366,20293.298828125,21052.0,2.0,0.0,6.90173875,0.242,0.9959999999809265,8532.595549904641,1509.365234375,21052.0
9,5.213471210919893,0.0,0.0,0.0004956603764285287,0.0004956603764285287,0.0004956603764285287,3301.308592076162,20292.025390625,21052.0,2.0,0.0,6.885595,0.272,1.0520000003051757,8054.211012023716,1509.35595703125,21052.0
10,4.959883708220262,0.0,0.0,0.0004946461621797824,0.0004946461621797824,0.0004946461621797824,3349.722470714438,20440.869140625,21052.0,2.0,0.005,6.8665725,0.31199999994277955,1.219999999847412,8488.771084637761,1509.18310546875,21052.0
11,4.971446972626906,0.0,0.0,0.0004935268312039243,0.0004935268312039243,0.0004935268312039243,3336.682974614777,20439.705078125,21052.0,2.0,0.01,6.84474,0.35599999992370607,1.4240000010681153,8446.229529245236,1510.15234375,21052.0
12,4.889524423159086,0.0,0.0,0.0004923028744765145,0.0004923028744765145,0.0004923028744765145,3339.600839212896,20440.869140625,21052.0,2.0,0.015000000000000003,6.8202825,0.44599999994277956,1.7480000002288818,8179.79325618102,1510.22607421875,21052.0
13,4.803883442511926,0.0,0.0,0.0004909748288654262,0.0004909748288654262,0.0004909748288654262,3345.546020279556,20440.869140625,21054.0,2.0,0.02,6.79162625,0.5639999999427795,2.1780000010681153,8453.006724550585,1509.365234375,21054.0
14,4.754236276333149,0.0,0.0,0.0004895432768953564,0.0004895432768953564,0.0004895432768953564,3342.8889825969977,20439.595703125,21054.0,2.0,0.025,6.7554625,0.7439999999618531,2.7020000002288818,8444.29576617511,1509.35595703125,21054.0
15,4.668336629867554,0.0,0.0,0.00048800884649231267,0.00048800884649231267,0.00048800884649231267,3336.638014586808,20440.869140625,21054.0,2.0,0.030000000000000006,6.70823375,0.9499999999809265,3.3400000021362306,8436.32113270381,1509.18310546875,21054.0
16,4.56901506277231,0.0,0.0,0.0004863722107081829,0.0004863722107081829,0.0004863722107081829,3052.367389887994,20439.705078125,21054.0,2.0,0.035,6.64505875,1.221999999885559,4.274000001831054,8530.941642744201,1510.15234375,21054.0
17,4.541943953587459,0.0,0.0,0.00048463408742551345,0.00048463408742551345,0.00048463408742551345,3305.877062189453,20440.869140625,21054.0,2.0,0.04,6.5611525,1.6400000006103517,5.6459999996948245,8482.121695265969,1510.22607421875,21054.0
18,4.42634026820843,0.0,0.0,0.0004827952390426216,0.0004827952390426216,0.0004827952390426216,3327.509980994842,20440.869140625,21054.0,2.0,0.045,6.453955,2.227999998931885,7.40599999786377,8496.985692996459,1509.365234375,21054.0
19,4.456130431248591,0.0,0.0,0.0004808564721391826,0.0004808564721391826,0.0004808564721391826,3329.8536981309376,20439.595703125,21054.0,2.0,0.05,6.31644125,3.004000001220703,9.743999993896484,8605.725638656957,1509.35595703125,21054.0
20,4.457952389350305,0.0,0.0,0.0004788186371224372,0.0004788186371224372,0.0004788186371224372,3330.126690049708,20440.869140625,21054.0,2.0,0.05,6.146705,4.126000001831055,12.782000001220704,8638.584089985361,1509.18310546875,21054.0
21,4.378946102582491,0.0,0.0,0.0004766826278541748,0.0004766826278541748,0.0004766826278541748,3318.8559900467603,20439.705078125,21054.0,2.0,0.05,5.9432925,5.875999991455078,16.68600001159668,8710.741318414914,1510.15234375,21054.0
22,4.247470388045678,0.0,0.0,0.00047444938125865615,0.00047444938125865615,0.00047444938125865615,3323.5269881010945,20440.869140625,21054.0,2.0,0.05,5.7056825,8.17199999633789,21.73999998779297,8350.525262529727,1510.22607421875,21054.0
23,4.2467173888133125,0.0,0.0,0.0004721198769116476,0.0004721198769116476,0.0004721198769116476,3322.2310679684097,20440.869140625,21054.0,2.0,0.05,5.43615625,11.371999990844726,27.695999975585938,8643.567661040415,1509.365234375,21054.0
24,4.2499100886858425,0.0,0.0,0.00046969513661074654,0.00046969513661074654,0.00046969513661074654,3336.3058290684,20439.595703125,21054.0,2.0,0.05,5.14329875,15.222000001220703,34.2659999987793,8423.799263804469,1509.35595703125,21054.0
25,4.316106218558091,0.0,0.0,0.0004671762239271875,0.0004671762239271875,0.0004671762239271875,3318.5927115769673,20440.869140625,21054.0,2.0,0.05,4.83635625,19.46999999633789,40.91599997680664,7136.148560509729,1509.18310546875,21054.0
26,4.132716316443223,0.0,0.0,0.0004645642437393242,0.0004645642437393242,0.0004645642437393242,3318.156805411042,20439.705078125,21054.0,2.0,0.05,4.53026,23.785999998779296,47.09000000732422,8641.527180536687,1510.15234375,21054.0
27,4.170382967362037,0.0,0.0,0.0004618603417479937,0.0004618603417479937,0.0004618603417479937,3330.645443526551,20440.869140625,21054.0,2.0,0.05,4.24154,28.072000009765624,52.44600002441406,8411.993004071599,1510.22607421875,21054.0
28,4.179258227348328,0.0,0.0,0.00045906570397397437,0.00045906570397397437,0.00045906570397397437,3344.7510984484493,20440.869140625,21054.0,2.0,0.05,3.982209375,31.703999992675783,56.71800001708984,8658.67340901492,1509.365234375,21054.0
29,4.169679880142212,0.0,0.0,0.0004561815562377575,0.0004561815562377575,0.0004561815562377575,3320.228507441246,20439.595703125,21054.0,2.0,0.05,3.75571375,34.798000002441405,60.08599998046875,8438.33239252277,1509.35595703125,21054.0
30,4.1089804997810955,0.0,0.0,0.00045320916362186214,0.00045320916362186214,0.00045320916362186214,3302.8517623498306,20440.869140625,21054.0,2.0,0.05,3.55806,37.58399999145508,62.69999997558594,8313.434269424783,1509.18310546875,21054.0
31,4.083882001730112,0.0,0.0,0.0004501498299159281,0.0004501498299159281,0.0004501498299159281,3327.388674232642,20439.705078125,21054.0,2.0,0.05,3.38975,39.88599998413086,64.89399999023438,8521.215150166898,1510.15234375,21054.0
32,4.0141241275347195,0.0,0.0,0.00044700489704483076,0.00044700489704483076,0.00044700489704483076,3324.6290679092813,20440.869140625,21054.0,2.0,0.05,3.24877,41.64799998413086,66.79799999023437,8657.779400494916,1510.22607421875,21054.0
33,4.0834870888636665,0.0,0.0,0.0004437757444800684,0.0004437757444800684,0.0004437757444800684,3292.5375176174753,20440.869140625,21054.0,2.0,0.05,3.13098,43.25599998046875,68.18400001220704,8459.014748274014,1509.365234375,21054.0
34,4.015435631458576,0.0,0.0,0.00044046378863468033,0.00044046378863468033,0.00044046378863468033,3264.7393071529455,20439.595703125,21054.0,2.0,0.05,3.032425,44.445999978027345,69.25599992919922,8505.028573324234,1509.35595703125,21054.0
35,3.9633595576653113,0.0,0.0,0.00043707048224196166,0.00043707048224196166,0.00043707048224196166,3335.0767464049372,20440.869140625,21054.0,2.0,0.05,2.948368125,45.51399997314453,70.20199995605469,8604.407927527662,1509.18310546875,21054.0
36,3.9567003433520975,0.0,0.0,0.00043359731371824586,0.00043359731371824586,0.00043359731371824586,3279.6346582891215,20439.705078125,21054.0,2.0,0.05,2.876636875,46.32599997436523,70.86200000976562,8589.875306742202,1510.15234375,21054.0
37,3.9574729754374576,0.0,0.0,0.00043004580651003686,0.00043004580651003686,0.00043004580651003686,3337.1969017107417,20440.869140625,21054.0,2.0,0.05,2.816398125,46.92799997314453,71.41799998291016,8534.577611962226,1510.22607421875,21054.0
38,3.946001511353713,0.0,0.0,0.0004264175184257746,0.0004264175184257746,0.0004264175184257746,3334.769451644055,20440.869140625,21054.0,2.0,0.05,2.76434875,47.54799997436523,71.94800000732423,7834.524129556677,1509.365234375,21054.0
39,3.890731013738192,0.0,0.0,0.0004227140409525287,0.0004227140409525287,0.0004227140409525287,3332.5502439348634,20439.595703125,21054.0,2.0,0.05,2.71923875,48.14200000244141,72.41599997802734,8658.017451101745,1509.35595703125,21054.0
40,3.9984442637516904,0.0,0.0,0.0004189369985579203,0.0004189369985579203,0.0004189369985579203,3209.0689071787,20440.869140625,21054.0,2.0,0.05,2.675088125,48.718,72.79000000488281,8513.333788535672,1509.18310546875,21054.0
41,3.881644973388085,0.0,0.0,0.0004150880479775759,0.0004150880479775759,0.0004150880479775759,3328.992621023023,20439.705078125,21054.0,2.0,0.05,2.632376875,49.12799997558594,73.26800002685547,8508.56653581924,1510.15234375,21054.0
42,3.8425891949580264,0.0,0.0,0.000411168877488429,0.000411168877488429,0.000411168877488429,3311.144714378018,20440.869140625,21054.0,2.0,0.05,2.58832,49.673999975585936,73.818,8462.714979550123,1510.22607421875,21054.0
43,3.8932691170619083,0.0,0.0,0.0004071812061681861,0.0004071812061681861,0.0004071812061681861,3329.1874688859384,20440.869140625,21054.0,2.0,0.05,2.544543125,50.28799997558594,74.38600004882812,8515.25055293347,1509.365234375,21054.0
44,3.9045135241288405,0.0,0.0,0.00040312678314128193,0.00040312678314128193,0.00040312678314128193,3308.746115259749,20439.595703125,21054.0,2.0,0.05,2.4983796875,51.072,74.9739999975586,8546.007685877885,1509.35595703125,21054.0
45,3.8179431511805606,0.0,0.0,0.00039900738681165594,0.00039900738681165594,0.00039900738681165594,3297.015794543725,20440.869140625,21054.0,2.0,0.05,2.4491665625,51.707999997558595,75.66399997070313,8343.206937671412,1509.18310546875,21054.0
46,3.782544887982882,0.0,0.0,0.0003948248240826858,0.0003948248240826858,0.0003948248240826858,3278.124569982361,20439.705078125,21054.0,2.0,0.05,2.3957596875,52.53200002197266,76.36999994140625,8589.069671309848,1510.15234375,21054.0
47,3.811840901008019,0.0,0.0,0.0003905809295646193,0.0003905809295646193,0.0003905809295646193,3309.908009949668,20440.869140625,21054.0,2.0,0.05,2.33927,53.43399999511719,77.25399996582031,8578.703139725041,1510.22607421875,21054.0
48,3.8235486562435446,0.0,0.0,0.0003862775647698542,0.0003862775647698542,0.0003862775647698542,3327.7593462196182,20440.869140625,21054.0,2.0,0.05,2.28576375,54.41599999267578,78.04199996582031,8599.755386062485,1509.365234375,21054.0
