epoch,train_loss,train_top1,train_top5,train_lr,train_lr_min,train_lr_max,train_throughput,train_mem_allocated_mb,train_mem_reserved_mb,train_effective_lambda,eval_loss,eval_top1,eval_top5,eval_throughput,eval_mem_allocated_mb,eval_mem_reserved_mb
0,6.927359030796931,0.0,0.0,1e-06,1e-06,1e-06,8266.360739800477,4867.47509765625,5350.0,2.0,6.9777575,0.13,0.546,8770.259524827738,717.91455078125,794.0
1,6.696259645315317,0.0,0.0,0.0001008,0.0001008,0.0001008,9793.742959184567,4867.47509765625,5348.0,2.0,6.96788,0.126,0.561999999961853,8806.302184686476,717.57080078125,5348.0
2,6.486740900919988,0.0,0.0,0.0002006,0.0002006,0.0002006,9949.663937154763,4867.47509765625,5348.0,2.0,6.9569625,0.14199999998092652,0.599999999961853,8616.92408871641,717.57080078125,5348.0
3,6.323522439369788,0.0,0.0,0.00030040000000000004,0.00030040000000000004,0.00030040000000000004,9919.517763621849,4867.47509765625,5348.0,2.0,6.9455375,0.1559999999809265,0.6740000003051758,8717.78891992387,717.57080078125,5348.0
4,6.217882394790649,0.0,0.0,0.0004002,0.0004002,0.0004002,9766.706332096268,4867.47509765625,5348.0,2.0,6.93360625,0.15599999996185301,0.7279999990081787,8923.471228061053,717.57080078125,5348.0
5,6.045034041771522,0.0,0.0,0.0004996642360148705,0.0004996642360148705,0.0004996642360148705,9933.452624085627,4867.47509765625,5348.0,2.0,6.919955,0.18199999994277954,0.8879999998474121,8780.29815429906,717.57080078125,5348.0
6,5.869074161236103,0.0,0.0,0.0004995165484649266,0.0004995165484649266,0.0004995165484649266,9957.925595163058,4867.47509765625,5348.0,2.0,6.9016775,0.22799999996185302,1.0199999998855591,8826.513953088437,717.57080078125,5348.0
7,5.732682741605318,0.0,0.0,0.0004993420469199923,0.0004993420469199923,0.0004993420469199923,9853.887169743592,4867.47509765625,5348.0,2.0,6.8801875,0.298,1.2039999999427795,8841.43407025863,717.57080078125,5348.0
8,5.553095927605262,0.0,0.0,0.0004991407505161285,0.0004991407505161285,0.0004991407505161285,9903.42807887539,4867.47509765625,5348.0,2.0,6.8608425,0.3259999999809265,1.4319999999618531,8639.883102655836,717.57080078125,5348.0
9,5.470126060339121,0.0,0.0,0.0004989126813277546,0.0004989126813277546,0.0004989126813277546,9874.437202847641,4867.47509765625,5348.0,2.0,6.842805,0.40599999996185304,1.5820000006866455,8750.796830196232,717.57080078125,5348.0
10,5.2393365273108845,0.0,0.0,0.000498657864365227,0.000498657864365227,0.000498657864365227,9919.278068099464,4867.47509765625,5348.0,2.0,6.82192875,0.483999999961853,1.7940000010681152,8727.121524120212,717.57080078125,5348.0
11,5.24577102294335,0.0,0.0,0.0004983763275720971,0.0004983763275720971,0.0004983763275720971,9947.88691906169,4867.47509765625,5348.0,2.0,6.79626625,0.5559999999427795,2.112000001068115,8694.442672100693,717.57080078125,5348.0
12,5.169765270673311,0.0,0.0,0.000498068101822047,0.000498068101822047,0.000498068101822047,9914.150436957038,4867.47509765625,5348.0,2.0,6.76543125,0.727999999961853,2.584000000305176,8596.371995484466,717.57080078125,5348.0
13,5.089360402180598,0.0,0.0,0.0004977332209155036,0.0004977332209155036,0.0004977332209155036,9978.38930503045,4867.47509765625,5348.0,2.0,6.72721125,0.931999999961853,3.2400000003051757,8706.599119646862,717.57080078125,5348.0
14,5.0434175087855415,0.0,0.0,0.0004973717215759322,0.0004973717215759322,0.0004973717215759322,9955.413450750179,4867.47509765625,5348.0,2.0,6.67912625,1.223999999961853,4.031999999885559,8599.731406017736,717.57080078125,5348.0
15,4.933383721571702,0.0,0.0,0.0004969836434458088,0.0004969836434458088,0.0004969836434458088,9937.98435634459,4867.47509765625,5348.0,2.0,6.6200425,1.552,5.041999999465943,8733.091428548585,717.57080078125,5348.0
16,4.858215405390813,0.0,0.0,0.0004965690290822737,0.0004965690290822737,0.0004965690290822737,9884.019384649897,4867.47509765625,5348.0,2.0,6.5446425,1.992,6.405999999389649,8673.647654239943,717.57080078125,5348.0
