epoch,train_loss,train_top1,train_top5,train_lr,train_lr_min,train_lr_max,train_throughput,train_mem_allocated_mb,train_mem_reserved_mb,train_effective_lambda,eval_loss,eval_top1,eval_top5,eval_throughput,eval_mem_allocated_mb,eval_mem_reserved_mb
0,1.7552839564342124,80.2146563998801,92.8885016986411,1e-06,1e-06,1e-06,823.7243519036243,12889.884765625,13182.0,2.0,0.79479140625,81.27800000488281,95.75200001953125,2620.132161031821,2380.82373046875,3456.0
1,1.707423089766035,81.12174323041567,93.29388052058353,9.97534852915723e-06,9.97534852915723e-06,9.97534852915723e-06,831.6159375476489,12890.853515625,13358.0,2.0,0.7554203125,82.15600002441407,96.07199999267579,2645.346358779414,2383.94873046875,13358.0
2,1.7013891947035695,81.43375924260592,93.455079686251,9.901664203302126e-06,9.901664203302126e-06,9.901664203302126e-06,823.2879650529569,12889.931640625,13358.0,2.0,0.73827046875,82.6059999975586,96.24000001708984,2616.5059565986685,2383.94873046875,13358.0
3,1.6917146923495274,81.60573104016787,93.53033198441247,9.779754323328192e-06,9.779754323328192e-06,9.779754323328192e-06,827.1397113392887,12889.931640625,13358.0,2.0,0.73104796875,82.77199997314453,96.30399999023437,2616.2553014627088,2383.94873046875,13358.0
4,1.698628542469997,81.72095136390887,93.58622477018385,9.610954559391704e-06,9.610954559391704e-06,9.610954559391704e-06,810.494945269531,12889.931640625,13358.0,2.0,0.7280284375,82.83399997314453,96.33199999023438,2612.615564354447,2383.94873046875,13358.0
5,1.6897061046432047,81.82945830835332,93.6154201638689,9.397114317029975e-06,9.397114317029975e-06,9.397114317029975e-06,825.9386871616481,12889.931640625,13358.0,2.0,0.72728796875,82.89799997314454,96.36799999023438,2641.723150348375,2383.94873046875,13358.0
6,1.7031958266800524,81.89659210131894,93.64937737310152,9.140576474687265e-06,9.140576474687265e-06,9.140576474687265e-06,817.5934699999565,12889.931640625,13358.0,2.0,0.7273171875,82.94199994873047,96.35800001708985,2631.287890951775,2383.94873046875,13358.0
7,1.6785078761624355,81.97535721422862,93.67240582533972,8.844151714648274e-06,8.844151714648274e-06,8.844151714648274e-06,827.0726163001283,12889.931640625,13358.0,2.0,0.72784296875,82.97599997558594,96.35200001708985,2611.953808211071,2383.94873046875,13358.0
8,1.6736684254571503,82.13460481614709,93.73509005295763,8.511087728614863e-06,8.511087728614863e-06,8.511087728614863e-06,824.9826341204708,12889.931640625,13358.0,2.0,0.72876796875,82.95999994873047,96.35799999023438,2638.7006313913944,2383.94873046875,13358.0
9,1.669871638802921,82.17262127797761,93.74516012190247,8.14503363531613e-06,8.14503363531613e-06,8.14503363531613e-06,827.0778113081558,12889.931640625,13358.0,2.0,0.7295115625,82.95999994873047,96.34799999023437,2631.9670787247755,2383.94873046875,13358.0
10,1.6810414311932582,82.24420463629097,93.75710369204636,7.75e-06,7.75e-06,7.75e-06,827.8075637127223,12889.931640625,13358.0,2.0,0.72998625,82.94999994873046,96.35599999023438,2611.423558513377,2383.94873046875,13358.0
11,1.6857449447407442,82.30415667466028,93.79910134392486,7.330314893841102e-06,7.330314893841102e-06,7.330314893841102e-06,824.5551826192,12889.931640625,13358.0,2.0,0.73051984375,82.94199994873047,96.36199999023438,2604.8621040367134,2383.94873046875,13358.0
12,1.6715840381734512,82.34147057354117,93.85062262689848,6.890576474687264e-06,6.890576474687264e-06,6.890576474687264e-06,826.8523238808694,12889.931640625,13358.0,2.0,0.7310875,82.96599997314453,96.34199999023437,2606.0204700559816,2383.94873046875,13358.0
13,1.659671635020013,82.36746540267785,93.86631319944044,6.435602608679916e-06,6.435602608679916e-06,6.435602608679916e-06,826.3431677562622,12889.931640625,13358.0,2.0,0.73163203125,82.94199994873047,96.34599999023438,2620.283177730572,2383.94873046875,13358.0
