epoch,train_loss,train_top1,train_top5,train_lr,train_lr_min,train_lr_max,train_throughput,train_mem_allocated_mb,train_mem_reserved_mb,train_effective_lambda,train_soft_topk_aux_weight,eval_loss,eval_top1,eval_top5,eval_throughput,eval_mem_allocated_mb,eval_mem_reserved_mb
0,1.8616279866181167,77.41478692046363,91.46916841526779,1e-06,1e-06,1e-06,349.2643907129562,30095.42138671875,31576.0,2.0,0.05,0.816150625,80.972,95.582,1708.2721199340695,3416.18798828125,4258.0
1,1.8132555589956396,78.18869904076739,91.90101044164668,9.97534852915723e-06,9.97534852915723e-06,9.97534852915723e-06,463.5119367443386,30101.0888671875,32558.0,2.0,0.05,0.7732015625,81.71,95.912,1722.483333430115,3415.8232421875,32558.0
2,1.8196551005045574,78.56222834232614,92.11630695443645,9.901664203302126e-06,9.901664203302126e-06,9.901664203302126e-06,538.3687623991722,30099.578125,32558.0,2.0,0.05,0.752975,82.136,96.084,1729.2630031832873,3416.3662109375,32558.0
3,1.8006336548749138,78.74497277178257,92.1746196792566,9.779754323328192e-06,9.779754323328192e-06,9.779754323328192e-06,538.1435417872051,30098.46240234375,32558.0,2.0,0.05,0.743645625,82.28,96.172,1724.3864636511166,3416.3662109375,32558.0
4,1.792158492639953,78.8443463978817,92.25900529576339,9.610954559391704e-06,9.610954559391704e-06,9.610954559391704e-06,474.90993160093393,30099.5185546875,32558.0,2.0,0.05,0.73941,82.348,96.218,1722.044942821577,3416.3662109375,32558.0
5,1.7980661018221986,78.85730478117506,92.25400929256595,9.397114317029975e-06,9.397114317029975e-06,9.397114317029975e-06,473.3566580560396,30099.5185546875,32558.0,2.0,0.05,0.737504375,82.384,96.234,1725.8636412086023,3416.3662109375,32558.0
6,1.802795991009357,78.9195206334932,92.29561663169464,9.140576474687265e-06,9.140576474687265e-06,9.140576474687265e-06,436.12052195173453,30099.5185546875,32558.0,2.0,0.05,0.736810625,82.404,96.25,1729.4936321435414,3416.3662109375,32558.0
7,1.7871248277963376,79.08079786171064,92.37321080635492,8.844151714648274e-06,8.844151714648274e-06,8.844151714648274e-06,482.6169425415574,30099.5185546875,32558.0,2.0,0.05,0.73647,82.502,96.248,1724.995374230034,3416.3662109375,32558.0
8,1.769332530451756,79.0886821792566,92.35057266686651,8.511087728614863e-06,8.511087728614863e-06,8.511087728614863e-06,486.665799229182,30099.5185546875,32558.0,2.0,0.05,0.736845,82.486,96.224,1727.3911573488301,3416.3662109375,32558.0
9,1.7771636504752963,79.16674472921663,92.40264038768984,8.14503363531613e-06,8.14503363531613e-06,8.14503363531613e-06,509.06391922905016,30099.5185546875,32558.0,2.0,0.05,0.736674375,82.468,96.22,1726.4971897840728,3416.3662109375,32558.0
10,1.7736503914290784,79.29390862310152,92.45049273081534,7.75e-06,7.75e-06,7.75e-06,508.73705834503437,30099.50732421875,32558.0,2.0,0.05,0.73679,82.5,96.214,1722.6081093985997,3416.3662109375,32558.0
11,1.7847118038757175,79.36377460531575,92.48882144284572,7.330314893841102e-06,7.330314893841102e-06,7.330314893841102e-06,531.0023753007882,30099.50732421875,32558.0,2.0,0.05,0.737025,82.52,96.218,1480.4409731172816,3416.3662109375,32558.0
12,1.767663034738279,79.4228679556355,92.50732226718625,6.890576474687264e-06,6.890576474687264e-06,6.890576474687264e-06,482.97621469024256,30099.5185546875,32558.0,2.0,0.05,0.7372534375,82.518,96.228,1726.0133974527585,3416.3662109375,32558.0
13,1.7728586173525043,79.45830835331735,92.51708008593125,6.435602608679916e-06,6.435602608679916e-06,6.435602608679916e-06,535.0525882256168,30098.9775390625,32558.0,2.0,0.05,0.7370071875,82.508,96.236,1728.6068487253133,3416.3662109375,32558.0
14,1.7717527057610305,79.40803607114309,92.52074902577938,5.970378084704441e-06,5.970378084704441e-06,5.970378084704441e-06,501.3522040718695,30099.5185546875,32558.0,2.0,0.05,0.7371515625,82.524,96.232,1723.9967199907528,3416.3662109375,32558.0
