epoch,train_loss,train_top1,train_top5,train_lr,train_lr_min,train_lr_max,train_throughput,train_mem_allocated_mb,train_mem_reserved_mb,train_effective_lambda,train_soft_topk_aux_weight,eval_loss,eval_top1,eval_top5,eval_throughput,eval_mem_allocated_mb,eval_mem_reserved_mb
0,6.92814854475168,0.0,0.0,1e-06,1e-06,1e-06,2026.9387474221144,20289.30078125,21042.0,2.0,0.0,6.973335,0.082,0.504,6034.872010562822,1508.31591796875,1774.0
1,6.640935054192176,0.0,0.0,0.0001508,0.0001508,0.0001508,2200.7201115654234,20294.02783203125,21052.0,2.0,0.0,6.9636025,0.078,0.493999999961853,5988.144561549824,1510.75390625,21052.0
2,6.362295939372136,0.0,0.0,0.00030060000000000004,0.00030060000000000004,0.00030060000000000004,2199.540877322011,20293.298828125,21052.0,2.0,0.0,6.9532175,0.09,0.547999999961853,5989.973619463279,1510.22607421875,21052.0
3,6.1268609670492316,0.0,0.0,0.00045040000000000005,0.00045040000000000005,0.00045040000000000005,2200.982534608562,20293.298828125,21052.0,2.0,0.0,6.943165,0.126,0.583999999961853,6073.927518301847,1509.365234375,21052.0
4,6.016670483809251,0.0,0.0,0.0006002000000000001,0.0006002000000000001,0.0006002000000000001,2202.767463552072,20292.025390625,21052.0,2.0,0.0,6.93419125,0.156,0.7359999999809265,5979.617625323502,1509.35595703125,21052.0
5,5.796367296805749,0.0,0.0,0.0007494929278591923,0.0007494929278591923,0.0007494929278591923,2195.652457829227,20293.298828125,21052.0,2.0,0.0,6.92723125,0.168,0.8799999999809265,6039.50349606326,1509.18310546875,21052.0
6,5.604538990901067,0.0,0.0,0.0007492698895184605,0.0007492698895184605,0.0007492698895184605,2197.1890505911297,20292.134765625,21052.0,2.0,0.0,6.91944625,0.242,0.959999999961853,5960.735047192838,1510.15234375,21052.0
7,5.457711256467379,0.0,0.0,0.0007490063565730495,0.0007490063565730495,0.0007490063565730495,2201.587466402,20293.298828125,21052.0,2.0,0.0,6.90183625,0.2599999999809265,1.045999999961853,6125.580964277658,1510.22607421875,21052.0
8,5.257767879045927,0.0,0.0,0.0007487023579223166,0.0007487023579223166,0.0007487023579223166,2198.207039088971,20293.298828125,21052.0,2.0,0.0,6.879305,0.31199999998092653,1.160000000228882,6006.646071216416,1509.365234375,21052.0
9,5.18433061012855,0.0,0.0,0.0007483579269031396,0.0007483579269031396,0.0007483579269031396,2195.493152249196,20292.025390625,21052.0,2.0,0.0,6.854855,0.37,1.4400000002288817,6055.3404722846335,1509.35595703125,21052.0
10,4.929987650651198,0.0,0.0,0.0007479731012862611,0.0007479731012862611,0.0007479731012862611,2199.767018564121,20293.298828125,21052.0,2.0,0.0,6.82878,0.5119999999618531,1.7099999994659423,6035.990083618739,1509.18310546875,21052.0
11,4.952737918266883,0.0,0.0,0.0007475479232721467,0.0007475479232721467,0.0007475479232721467,2197.8111759069775,20292.134765625,21052.0,2.0,0.0,6.80078625,0.607999999961853,2.016000000305176,6028.201544993397,1510.15234375,21052.0
12,4.882283705931443,0.0,0.0,0.0007470824394863569,0.0007470824394863569,0.0007470824394863569,2197.8801733453397,20293.298828125,21052.0,2.0,0.0,6.76354125,0.693999999961853,2.4519999998474122,5963.2348997922145,1510.22607421875,21052.0
13,4.7917516598334675,0.0,0.0,0.0007465767009744342,0.0007465767009744342,0.0007465767009744342,2194.8677943758366,20293.298828125,21052.0,2.0,0.0,6.70621875,0.8880000003051758,3.193999998779297,6034.184732397837,1509.365234375,21052.0
