epoch,train_loss,train_top1,train_top5,train_lr,train_lr_min,train_lr_max,train_throughput,train_mem_allocated_mb,train_mem_reserved_mb,train_effective_lambda,eval_loss,eval_top1,eval_top5,eval_throughput,eval_mem_allocated_mb,eval_mem_reserved_mb
0,1.694184887642954,81.5822342126299,93.50691321942446,1e-06,1e-06,1e-06,109.62978830986103,44007.884765625,44628.0,2.0,0.7434765625,82.554,96.178,618.5778330025853,3822.70947265625,5590.0
1,1.7000294456294938,81.59495840827338,93.50043402777777,9.901664203302126e-06,9.901664203302126e-06,9.901664203302126e-06,185.41656049545517,44008.60107421875,45140.0,2.0,0.733573125,82.724,96.27,617.994658266902,3823.58447265625,45140.0
2,1.693711536772111,81.74522881694644,93.56046412869705,9.610954559391704e-06,9.610954559391704e-06,9.610954559391704e-06,185.2967940325159,44008.60107421875,45140.0,2.0,0.728566875,82.918,96.306,622.0082924512892,3823.58447265625,45140.0
3,1.6931133223514931,81.84741269484412,93.58544414468425,9.140576474687265e-06,9.140576474687265e-06,9.140576474687265e-06,185.92575443603835,44008.60107421875,45140.0,2.0,0.726168125,82.97,96.33,619.366310737006,3823.58447265625,45140.0
4,1.6719471438258302,82.0048648581135,93.6986348421263,8.511087728614863e-06,8.511087728614863e-06,8.511087728614863e-06,185.58900158762285,44008.60107421875,45140.0,2.0,0.725354375,83.028,96.354,624.9150786466714,3823.58447265625,45140.0
5,1.7006201954448925,82.13842988109512,93.72603479716227,7.75e-06,7.75e-06,7.75e-06,186.5131685119617,44008.60107421875,45140.0,2.0,0.7250065625,83.048,96.372,623.1979199523711,3823.58447265625,45140.0
6,1.6771319964352776,82.20556367406076,93.77521420363709,6.890576474687264e-06,6.890576474687264e-06,6.890576474687264e-06,187.12543540249976,44008.60107421875,45140.0,2.0,0.725174375,83.068,96.382,623.1412952544996,3823.58447265625,45140.0
7,1.675212840239207,82.28589003796962,93.82369104716227,5.970378084704441e-06,5.970378084704441e-06,5.970378084704441e-06,187.11375729510905,44008.60107421875,45140.0,2.0,0.72551375,83.028,96.392,621.764099922114,3823.58447265625,45140.0
8,1.665203635599099,82.37667678357315,93.81440160371703,5.02962191529556e-06,5.02962191529556e-06,5.02962191529556e-06,185.40586988046755,44008.60107421875,45140.0,2.0,0.7260846875,83.01,96.372,621.067897148435,3823.58447265625,45140.0
9,1.671072941200406,82.429681254996,93.82837480015988,4.109423525312737e-06,4.109423525312737e-06,4.109423525312737e-06,185.61166377662036,44008.60107421875,45140.0,2.0,0.726744375,83.02,96.384,617.0888077972716,3823.58447265625,45140.0
10,1.6772248721590228,82.50711930455635,93.87240207833733,3.250000000000001e-06,3.250000000000001e-06,3.250000000000001e-06,185.52439995959318,44008.60107421875,45140.0,2.0,0.7272453125,83.018,96.394,621.3290580143764,3823.58447265625,45140.0
11,1.66557150962306,82.54646282973621,93.88512627398082,2.4889122713851393e-06,2.4889122713851393e-06,2.4889122713851393e-06,185.53261804285378,44008.60107421875,45140.0,2.0,0.7273990625,83.022,96.404,618.0086375314386,3823.58447265625,45140.0
12,1.6564750215586495,82.58658698041567,93.91330685451639,1.8594235253127369e-06,1.8594235253127369e-06,1.8594235253127369e-06,185.60455101498874,44008.60107421875,45140.0,2.0,0.727748125,83.018,96.392,618.5059262228231,3823.58447265625,45140.0
13,1.6465297142664592,82.65325239808153,93.94460993705036,1.3890454406082957e-06,1.3890454406082957e-06,1.3890454406082957e-06,185.43697611093435,44008.60107421875,45140.0,2.0,0.72815875,83.05,96.4,620.1427263414704,3823.58447265625,45140.0
14,1.6731367800749986,82.60633680555556,93.93009030275779,1.0983357966978744e-06,1.0983357966978744e-06,1.0983357966978744e-06,185.57342259044137,44008.60107421875,45140.0,2.0,0.728330625,83.038,96.396,595.5750030700277,3823.58447265625,45140.0
