epoch,train_loss,train_top1,train_top5,train_lr,train_lr_min,train_lr_max,train_throughput,train_mem_allocated_mb,train_mem_reserved_mb,train_effective_lambda,train_soft_topk_aux_weight,eval_loss,eval_top1,eval_top5,eval_throughput,eval_mem_allocated_mb,eval_mem_reserved_mb
0,1.8134514070024677,78.77276303956835,92.05978966826538,1e-06,1e-06,1e-06,231.6365246497394,58037.4892578125,60740.0,2.0,0.05,0.7554271875,82.214,95.988,746.7287869603158,6107.4365234375,7272.0
1,1.7920136907521416,78.76160009492406,92.09616681654676,9.901664203302126e-06,9.901664203302126e-06,9.901664203302126e-06,232.39323285712908,58091.861328125,63988.0,2.0,0.05,0.746971875,82.464,96.052,737.8903751358748,6108.15869140625,63988.0
2,1.8051176328285068,78.75777502997602,92.10030413169464,9.610954559391704e-06,9.610954559391704e-06,9.610954559391704e-06,232.40761042110563,58092.04443359375,63988.0,2.0,0.05,0.7431028125,82.56,96.1,742.7914963643062,6108.15869140625,63988.0
3,1.8025115927060444,78.7875168615108,92.07727567945643,9.140576474687265e-06,9.140576474687265e-06,9.140576474687265e-06,232.18525669560665,58089.76513671875,63988.0,2.0,0.05,0.741551875,82.584,96.112,739.4624888736063,6108.15869140625,63988.0
4,1.7961782415707905,78.88509504896084,92.15486985411671,8.511087728614863e-06,8.511087728614863e-06,8.511087728614863e-06,232.37459610330419,58089.76513671875,63988.0,2.0,0.05,0.7409296875,82.612,96.144,743.9687838708303,6108.15869140625,63988.0
5,1.8059415910758225,78.93037132793765,92.1859387490008,7.75e-06,7.75e-06,7.75e-06,232.40713957283225,58089.76513671875,63988.0,2.0,0.05,0.7408253125,82.58,96.14,628.2961153786829,6108.15869140625,63988.0
6,1.8012475850535374,78.99469486910472,92.20272219724221,6.890576474687264e-06,6.890576474687264e-06,6.890576474687264e-06,232.41581322624126,58089.76513671875,63988.0,2.0,0.05,0.74073125,82.618,96.148,740.627936549533,6108.15869140625,63988.0
7,1.7925089212024914,79.1023431254996,92.2576001698641,5.970378084704441e-06,5.970378084704441e-06,5.970378084704441e-06,232.47957564144963,58089.76513671875,63988.0,2.0,0.05,0.741179375,82.554,96.14,742.8016780774093,6108.15869140625,63988.0
8,1.7744456833484126,79.11818982314149,92.24331472322142,5.02962191529556e-06,5.02962191529556e-06,5.02962191529556e-06,231.90582238843405,58089.76513671875,63988.0,2.0,0.05,0.7417853125,82.558,96.12,740.3755132019986,6108.15869140625,63988.0
9,1.786377235954883,79.09781549760191,92.28843487709833,4.109423525312737e-06,4.109423525312737e-06,4.109423525312737e-06,232.25315073823754,58089.76513671875,63988.0,2.0,0.05,0.7426528125,82.506,96.114,744.0143188925169,6108.15869140625,63988.0
10,1.7953436234418083,79.11928269884093,92.26033235911271,3.250000000000001e-06,3.250000000000001e-06,3.250000000000001e-06,232.14368782664775,58089.76513671875,63988.0,2.0,0.05,0.7436540625,82.466,96.098,741.2330223462342,6108.15869140625,63988.0
11,1.7800554878571455,79.195315622502,92.31552258193446,2.4889122713851393e-06,2.4889122713851393e-06,2.4889122713851393e-06,232.19295431473975,58089.76513671875,63988.0,2.0,0.05,0.7440703125,82.492,96.092,744.0236894731372,6108.15869140625,63988.0
12,1.7837252990872252,79.24792978117506,92.33449178157474,1.8594235253127369e-06,1.8594235253127369e-06,1.8594235253127369e-06,231.0012922170212,58089.76513671875,63988.0,2.0,0.05,0.744299375,82.482,96.104,738.8715581985299,6108.15869140625,63988.0
13,1.7804626565353543,79.29148868405275,92.33831684652279,1.3890454406082957e-06,1.3890454406082957e-06,1.3890454406082957e-06,230.52264411917977,58089.76513671875,63988.0,2.0,0.05,0.744325,82.488,96.112,743.9876549430019,6108.15869140625,63988.0
14,1.7800381884855383,79.33879458932854,92.3792996852518,1.0983357966978744e-06,1.0983357966978744e-06,1.0983357966978744e-06,230.83773769866622,58089.76513671875,63988.0,2.0,0.05,0.74418125,82.48,96.11,743.1876049488143,6108.15869140625,63988.0
