epoch,train_loss,train_top1,train_top5,train_lr,train_lr_min,train_lr_max,train_throughput,train_mem_allocated_mb,train_mem_reserved_mb,train_effective_lambda,train_soft_topk_aux_weight,eval_loss,eval_top1,eval_top5,eval_throughput,eval_mem_allocated_mb,eval_mem_reserved_mb
0,6.927663106184739,0.0,0.0,1e-06,1e-06,1e-06,1795.6278676625193,39844.5732421875,41550.0,2.0,0.0,6.97564375,0.086,0.48,4919.0470791164225,1508.20654296875,1672.0
1,6.649529438752395,0.0,0.0,0.0001508,0.0001508,0.0001508,1795.4015277083702,39853.7060546875,41504.0,2.0,0.0,6.96302,0.08,0.53,4872.547734669995,1507.64453125,41504.0
2,6.352837324142456,0.0,0.0,0.00030060000000000004,0.00030060000000000004,0.00030060000000000004,1764.5151408479182,39853.0244140625,41504.0,2.0,0.0,6.9464975,0.112,0.622,4798.797481511839,1507.64453125,41504.0
3,6.1133117859180155,0.0,0.0,0.00045040000000000005,0.00045040000000000005,0.00045040000000000005,1800.9814144933068,39853.0244140625,41504.0,2.0,0.0,6.9286025,0.166,0.808,4847.989780059386,1507.64453125,41504.0
4,6.018124965521006,0.0,0.0,0.0006002000000000001,0.0006002000000000001,0.0006002000000000001,1746.9707296320607,39853.0244140625,41504.0,2.0,0.0,6.91154875,0.21,0.974,4951.577927772457,1507.64453125,41504.0
5,5.763969403046828,0.0,0.0,0.0007479731012862611,0.0007479731012862611,0.0007479731012862611,1817.508581885908,39853.0244140625,41504.0,2.0,0.0,6.8974725,0.262,1.246,4885.3113597689735,1507.64453125,41504.0
6,5.591374745735755,0.0,0.0,0.0007470824394863569,0.0007470824394863569,0.0007470824394863569,1786.5000961941291,39853.0244140625,41504.0,2.0,0.0,6.8853075,0.262,1.292,4925.076394211085,1507.64453125,41504.0
7,5.463587981003982,0.0,0.0,0.0007460307631963057,0.0007460307631963057,0.0007460307631963057,1741.4963269974303,39853.0244140625,41504.0,2.0,0.0,6.8657275,0.312,1.418,4909.562441502718,1507.64453125,41504.0
8,5.163500327330369,0.0,0.0,0.0007448185337160869,0.0007448185337160869,0.0007448185337160869,1743.2304396883658,39853.0244140625,41504.0,2.0,0.0,6.84415,0.37,1.588,4899.608984871796,1507.64453125,41504.0
9,5.140484241338877,0.0,0.0,0.0007434462827696148,0.0007434462827696148,0.0007434462827696148,1759.278546622992,39853.0244140625,41504.0,2.0,0.0,6.820135,0.448,1.84,4854.8704966295245,1507.64453125,41504.0
10,4.949725132722121,0.0,0.0,0.0007419146122715081,0.0007419146122715081,0.0007419146122715081,1810.3349802841883,40148.1650390625,41506.0,2.0,0.005,6.7950425,0.552,2.114,4782.121625006316,1507.64453125,41506.0
11,4.939249735612136,0.0,0.0,0.0007402241940630694,0.0007402241940630694,0.0007402241940630694,1782.5873995744712,40148.1650390625,41506.0,2.0,0.01,6.766035,0.662,2.532,4889.034422508873,1507.64453125,41506.0
12,4.942407773091243,0.0,0.0,0.0007383757696175935,0.0007383757696175935,0.0007383757696175935,1735.9108543143884,40148.1650390625,41506.0,2.0,0.015000000000000003,6.7269675,0.804,2.984,4880.626026526991,1507.64453125,41506.0
13,4.780603922330416,0.0,0.0,0.0007363701497151336,0.0007363701497151336,0.0007363701497151336,1772.9973778190588,40148.1650390625,41506.0,2.0,0.02,6.6704775,1.06,3.708,1281.7975834176434,1507.64453125,41506.0
14,4.752048088954045,0.0,0.0,0.0007342082140868649,0.0007342082140868649,0.0007342082140868649,1746.9646434526803,40148.1650390625,41506.0,2.0,0.025,6.5920975,1.332,4.642,4959.3742702332,1507.64453125,41506.0
15,4.579599178754366,0.0,0.0,0.0007318909110292068,0.0007318909110292068,0.0007318909110292068,1776.957117292702,40148.1650390625,41506.0,2.0,0.030000000000000006,6.4885925,1.884,6.084,4934.861722819142,1507.64453125,41506.0
16,4.543299143130962,0.0,0.0,0.0007294192569878681,0.0007294192569878681,0.0007294192569878681,1779.8670127629186,40148.1650390625,41506.0,2.0,0.035,6.35484875,2.534,8.08,2627.397657029786,1507.64453125,41506.0
17,4.438640117645264,0.0,0.0,0.0007267943361119999,0.0007267943361119999,0.0007267943361119999,1799.480643587537,40148.1650390625,41506.0,2.0,0.04,6.19043875,3.652,10.744,4917.800709748778,1507.64453125,41506.0
