epoch,train_loss,train_top1,train_top5,train_lr,train_lr_min,train_lr_max,train_throughput,train_mem_allocated_mb,train_mem_reserved_mb,train_effective_lambda,train_soft_topk_aux_weight,eval_loss,eval_top1,eval_top5,eval_throughput,eval_mem_allocated_mb,eval_mem_reserved_mb
0,6.927663106184739,0.0,0.0,1e-06,1e-06,1e-06,1690.2221799001843,39844.5732421875,41550.0,2.0,0.0,6.97558375,0.086,0.48,3324.0071864993783,1508.20654296875,1672.0
1,6.650737945850079,0.0,0.0,0.0001508,0.0001508,0.0001508,1755.636104380233,39853.7060546875,41504.0,2.0,0.0,6.96304625,0.078,0.534,4931.53203976027,1507.64453125,41504.0
2,6.353058576583862,0.0,0.0,0.00030060000000000004,0.00030060000000000004,0.00030060000000000004,1807.541187329822,39853.0244140625,41504.0,2.0,0.0,6.94646375,0.108,0.628,4932.692096908779,1507.64453125,41504.0
3,6.111649788342989,0.0,0.0,0.00045040000000000005,0.00045040000000000005,0.00045040000000000005,1764.7564695275094,39853.0244140625,41504.0,2.0,0.0,6.9282625,0.158,0.818,3459.79704490077,1507.64453125,41504.0
4,6.018599968690139,0.0,0.0,0.0006002000000000001,0.0006002000000000001,0.0006002000000000001,1779.5211076583053,39853.0244140625,41504.0,2.0,0.0,6.911115,0.208,0.96,4886.422673445588,1507.64453125,41504.0
5,5.762077258183406,0.0,0.0,0.0007479731012862611,0.0007479731012862611,0.0007479731012862611,1817.0764955456757,39853.0244140625,41504.0,2.0,0.0,6.89686625,0.274,1.21,4875.526961046712,1507.64453125,41504.0
6,5.591331738692063,0.0,0.0,0.0007470824394863569,0.0007470824394863569,0.0007470824394863569,1723.9424773677351,39853.0244140625,41504.0,2.0,0.0,6.8837425,0.282,1.364,4953.132520607683,1507.64453125,41504.0
7,5.460904286457942,0.0,0.0,0.0007460307631963057,0.0007460307631963057,0.0007460307631963057,1815.8610160515614,39853.0244140625,41504.0,2.0,0.0,6.86344875,0.296,1.486,4943.259757486687,1507.64453125,41504.0
8,5.157676164920513,0.0,0.0,0.0007448185337160869,0.0007448185337160869,0.0007448185337160869,1746.6216718637377,39853.0244140625,41504.0,2.0,0.0,6.84003875,0.402,1.664,4943.404594916295,1507.64453125,41504.0
9,5.124771264883188,0.0,0.0,0.0007434462827696148,0.0007434462827696148,0.0007434462827696148,1803.687183796094,39853.0244140625,41504.0,2.0,0.0,6.8127225,0.478,1.948,4942.875158009696,1507.64453125,41504.0
10,4.933877926606399,0.0,0.0,0.0007419146122715081,0.0007419146122715081,0.0007419146122715081,1810.0223100950122,40148.1650390625,41506.0,2.0,0.005,6.7824475,0.614,2.288,4869.3893178867775,1507.64453125,41506.0
11,4.92837353853079,0.0,0.0,0.0007402241940630694,0.0007402241940630694,0.0007402241940630694,1744.5047431494293,40148.1650390625,41506.0,2.0,0.01,6.74649,0.814,2.83,4863.18658573878,1507.64453125,41506.0
12,4.932551200573261,0.0,0.0,0.0007383757696175935,0.0007383757696175935,0.0007383757696175935,1811.7634425508072,40148.1650390625,41506.0,2.0,0.015000000000000003,6.69656,1.014,3.406,4956.817595431795,1507.64453125,41506.0
13,4.757103296426626,0.0,0.0,0.0007363701497151336,0.0007363701497151336,0.0007363701497151336,1731.0186717689915,40148.1650390625,41506.0,2.0,0.02,6.6248825,1.35,4.226,4934.421305743361,1507.64453125,41506.0
