epoch,train_loss,train_top1,train_top5,train_lr,train_lr_min,train_lr_max,train_throughput,train_mem_allocated_mb,train_mem_reserved_mb,train_effective_lambda,eval_loss,eval_top1,eval_top5,eval_throughput,eval_mem_allocated_mb,eval_mem_reserved_mb
0,6.9213107365828295,0.0,0.0,1e-06,1e-06,1e-06,3002.731276980467,18740.2314453125,19428.0,2.0,7.0458925,0.096,0.522,4845.609663252227,2219.42529296875,2350.0
1,6.668778144396269,0.0,0.0,0.0001008,0.0001008,0.0001008,3074.674793829206,18738.17529296875,19086.0,2.0,7.0166525,0.098,0.506,4784.72336013725,2218.48974609375,19086.0
2,6.419030391252958,0.0,0.0,0.0002006,0.0002006,0.0002006,3019.90803715145,18736.92578125,19086.0,2.0,6.9821475,0.162,0.72,4832.324836254935,2218.48974609375,19086.0
3,6.222119074601394,0.0,0.0,0.00030040000000000004,0.00030040000000000004,0.00030040000000000004,2958.8643126880493,18736.92578125,19086.0,2.0,6.95195625,0.224,0.93,4850.441116454998,2218.48974609375,19086.0
4,6.1671917255108175,0.0,0.0,0.0004002,0.0004002,0.0004002,2587.073806972616,18736.92578125,19086.0,2.0,6.92569375,0.272,1.17,4722.388812411151,2218.48974609375,19086.0
5,5.945965803586519,0.0,0.0,0.0004996642360148705,0.0004996642360148705,0.0004996642360148705,2752.8312722808714,18736.92578125,19086.0,2.0,6.89665125,0.362,1.406,2038.1296604927152,2218.48974609375,19086.0
6,5.765747803908128,0.0,0.0,0.0004995165484649266,0.0004995165484649266,0.0004995165484649266,3036.9156767904637,18736.92578125,19086.0,2.0,6.86037125,0.434,1.734,3351.137926083602,2218.48974609375,19086.0
7,5.624642262092004,0.0,0.0,0.0004993420469199923,0.0004993420469199923,0.0004993420469199923,2973.8375115957506,18736.92578125,19086.0,2.0,6.8116275,0.676,2.362,4822.909482367069,2218.48974609375,19086.0
8,5.315082183251014,0.0,0.0,0.0004991407505161285,0.0004991407505161285,0.0004991407505161285,3046.9721696306606,18736.92578125,19086.0,2.0,6.7623,0.854,2.978,4787.189141168381,2218.48974609375,19086.0
9,5.262360095977783,0.0,0.0,0.0004989126813277546,0.0004989126813277546,0.0004989126813277546,3052.204800352726,18736.92578125,19086.0,2.0,6.7232775,1.106,3.664,2584.53519579245,2218.48974609375,19086.0
10,5.076532198832585,0.0,0.0,0.000498657864365227,0.000498657864365227,0.000498657864365227,2620.1544686124066,18736.92578125,19086.0,2.0,6.69183125,1.326,4.092,2427.0190293201535,2218.48974609375,19086.0
11,5.052164151118352,0.0,0.0,0.0004983763275720971,0.0004983763275720971,0.0004983763275720971,3033.3940737878956,18736.92578125,19086.0,2.0,6.6538925,1.534,4.704,4822.770843231524,2218.48974609375,19086.0
12,5.041729596944956,0.0,0.0,0.000498068101822047,0.000498068101822047,0.000498068101822047,2642.7788128929033,18736.92578125,19086.0,2.0,6.59535875,1.864,5.7,4742.697566641039,2218.48974609375,19086.0
13,4.8559381778423605,0.0,0.0,0.0004977332209155036,0.0004977332209155036,0.0004977332209155036,2963.4706576955205,18736.92578125,19086.0,2.0,6.503935,2.488,7.244,4755.16916540971,2218.48974609375,19086.0
14,4.832882624406081,0.0,0.0,0.0004973717215759322,0.0004973717215759322,0.0004973717215759322,2942.0113212353353,18736.92578125,19086.0,2.0,6.370195,3.542,9.738,4857.553139910646,2218.48974609375,19086.0
15,4.646081429261428,0.0,0.0,0.0004969836434458088,0.0004969836434458088,0.0004969836434458088,3060.896767337599,18736.92578125,19086.0,2.0,6.19757,5.026,13.238,2867.9922604557614,2218.48974609375,19086.0
16,4.596902792270367,0.0,0.0,0.0004965690290822737,0.0004965690290822737,0.0004965690290822737,2731.0363210170917,18736.92578125,19086.0,2.0,5.99416,7.074,17.672,4607.023763116407,2218.48974609375,19086.0
17,4.46861980511592,0.0,0.0,0.0004961279239524642,0.0004961279239524642,0.0004961279239524642,3006.0226220502414,18736.92578125,19086.0,2.0,5.7721725,9.508,22.712,4707.259108941155,2218.48974609375,19086.0
18,4.4486818588696995,0.0,0.0,0.0004956603764285287,0.0004956603764285287,0.0004956603764285287,2665.974014411319,18736.92578125,19086.0,2.0,5.54123625,12.148,27.63,2853.3717579501667,2218.48974609375,19086.0
19,4.539035879648649,0.0,0.0,0.0004951664377823218,0.0004951664377823218,0.0004951664377823218,2823.09830441997,18736.92578125,19086.0,2.0,5.32232125,14.692,31.968,4573.814023139248,2218.48974609375,19086.0
20,4.44986237012423,0.0,0.0,0.0004946461621797824,0.0004946461621797824,0.0004946461621797824,3048.7755273933926,18736.92578125,19086.0,2.0,5.13501375,16.76,35.36,4773.479640843657,2218.48974609375,19086.0
21,4.40067720413208,0.0,0.0,0.0004940996066749931,0.0004940996066749931,0.0004940996066749931,3001.2303333003,18736.92578125,19086.0,2.0,4.994985,18.286,37.564,4708.314984321909,2218.48974609375,19086.0
22,4.322638484147879,0.0,0.0,0.0004935268312039243,0.0004935268312039243,0.0004935268312039243,2952.913298212341,18736.92578125,19086.0,2.0,4.91273375,19.01,38.298,4706.233806522776,2218.48974609375,19086.0
23,4.254029943392827,0.0,0.0,0.0004929278985778609,0.0004929278985778609,0.0004929278985778609,3058.909542638,18736.92578125,19086.0,2.0,4.87493,18.996,38.44,4735.790175937096,2218.48974609375,19086.0
24,4.267281137979948,0.0,0.0,0.0004923028744765145,0.0004923028744765145,0.0004923028744765145,3015.523046236612,18736.92578125,19086.0,2.0,4.87935,18.642,37.378,4726.846290786633,2218.48974609375,19086.0
25,4.29997456073761,0.0,0.0,0.0004916518274408217,0.0004916518274408217,0.0004916518274408217,2992.77091377122,18736.92578125,19086.0,2.0,4.9157575,17.67,35.766,4692.729604580595,2218.48974609375,19086.0
26,4.0537607211333055,0.0,0.0,0.0004909748288654262,0.0004909748288654262,0.0004909748288654262,2853.343372174699,18736.92578125,19086.0,2.0,4.9734675,16.548,33.876,2121.2153855155966,2218.48974609375,19086.0
27,4.105488006885235,0.0,0.0,0.0004902719529908511,0.0004902719529908511,0.0004902719529908511,2418.6936708155185,18736.92578125,19086.0,2.0,5.03641375,15.582,32.122,4712.457558373388,2218.48974609375,19086.0
28,4.157260958965008,0.0,0.0,0.0004895432768953564,0.0004895432768953564,0.0004895432768953564,3009.4218953251084,18736.92578125,19086.0,2.0,5.1018175,14.622,30.352,4801.046089746682,2218.48974609375,19086.0
29,4.129259861432589,0.0,0.0,0.0004887888804864878,0.0004887888804864878,0.0004887888804864878,3015.7953659626755,18736.92578125,19086.0,2.0,5.158995,13.942,28.868,4862.477899587765,2218.48974609375,19086.0
30,4.019009654338543,0.0,0.0,0.00048800884649231267,0.00048800884649231267,0.00048800884649231267,2956.8445944682303,18736.92578125,19086.0,2.0,5.21607875,13.376,27.598,4792.470228965209,2218.48974609375,19086.0
31,4.087842739545382,0.0,0.0,0.0004872032604523485,0.0004872032604523485,0.0004872032604523485,3051.1791841688687,18736.92578125,19086.0,2.0,5.2652325,12.924,26.62,4779.742326516932,2218.48974609375,19086.0
