epoch,train_loss,train_top1,train_top5,train_lr,train_lr_min,train_lr_max,train_throughput,train_mem_allocated_mb,train_mem_reserved_mb,train_effective_lambda,train_soft_topk_aux_weight,eval_loss,eval_top1,eval_top5,eval_throughput,eval_mem_allocated_mb,eval_mem_reserved_mb
0,4.9989259609809285,0.0,0.0,1e-06,1e-06,1e-06,1738.482220205445,39843.29296875,41330.0,2.0,0.0,7.85219625,1.148,3.346,3235.217596580328,1504.90673828125,1668.0
1,3.8351111870545607,0.0,0.0,0.0001508,0.0001508,0.0001508,1756.3862768700026,39853.6123046875,41500.0,2.0,0.0,7.74182125,1.52,4.376,4878.6100435321,1506.81201171875,41500.0
2,3.825371558849628,0.0,0.0,0.00030060000000000004,0.00030060000000000004,0.00030060000000000004,1796.995132475663,39851.24853515625,41500.0,2.0,0.0,7.61750875,2.05,5.656,4802.596557655779,1506.939453125,41500.0
3,3.8363445538740892,0.0,0.0,0.00045040000000000005,0.00045040000000000005,0.00045040000000000005,1710.3667001756735,39852.6318359375,41500.0,2.0,0.0,7.4513075,2.892,7.638,4852.361015037573,1507.70068359375,41500.0
4,4.199914547113272,0.0,0.0,0.0006002000000000001,0.0006002000000000001,0.0006002000000000001,1808.8581429107626,39851.6220703125,41502.0,2.0,0.0,7.1854325,4.306,10.628,4880.05669111878,1508.20068359375,41502.0
5,4.233372064737173,0.0,0.0,0.0007479731012862611,0.0007479731012862611,0.0007479731012862611,1721.4270247712986,39852.36572265625,41502.0,2.0,0.0,6.71631375,6.788,15.622,4834.094135096753,1506.91943359375,41502.0
6,4.212132655657255,0.0,0.0,0.0007470824394863569,0.0007470824394863569,0.0007470824394863569,1794.856568359168,39851.24853515625,41502.0,2.0,0.0,5.966495,11.554,23.594,4706.945217126284,1506.939453125,41502.0
7,4.256048981960003,0.0,0.0,0.0007460307631963057,0.0007460307631963057,0.0007460307631963057,1812.0601652810083,39852.6318359375,41502.0,2.0,0.0,4.926821875,19.336,35.818,4837.6172053890705,1507.70068359375,41502.0
8,4.0325209911053,0.0,0.0,0.0007448185337160869,0.0007448185337160869,0.0007448185337160869,1717.5171935106853,39851.6220703125,41502.0,2.0,0.0,3.7275775,31.444,52.416,4821.101810198266,1508.20068359375,41502.0
9,4.096509777582609,0.0,0.0,0.0007434462827696148,0.0007434462827696148,0.0007434462827696148,1805.8305691818182,39852.36572265625,41502.0,2.0,0.0,2.699823125,45.372,68.52,4837.711502473675,1506.91943359375,41502.0
10,3.992330010120685,0.0,0.0,0.0007419146122715081,0.0007419146122715081,0.0007419146122715081,1721.6811021536378,40146.38916015625,41502.0,2.0,0.005,2.02717625,56.314,79.064,4819.268580892155,1506.939453125,41502.0
11,4.029185423484216,0.0,0.0,0.0007402241940630694,0.0007402241940630694,0.0007402241940630694,1788.5293430234815,40147.7724609375,41502.0,2.0,0.01,1.66049375,62.946,84.724,4847.53671910503,1507.70068359375,41502.0
12,4.090569716233474,0.0,0.0,0.0007383757696175935,0.0007383757696175935,0.0007383757696175935,1804.1205718185115,40146.7626953125,41502.0,2.0,0.015000000000000003,1.464283125,66.884,87.568,4841.239849311461,1508.20068359375,41502.0
13,3.959536258990948,0.0,0.0,0.0007363701497151336,0.0007363701497151336,0.0007363701497151336,1711.9874498345282,40147.50634765625,41502.0,2.0,0.02,1.3564596875,69.174,89.136,4826.228663119941,1506.91943359375,41502.0
14,3.9815603586343618,0.0,0.0,0.0007342082140868649,0.0007342082140868649,0.0007342082140868649,1795.901373371062,40146.38916015625,41502.0,2.0,0.025,1.295105625,70.378,89.964,4823.287619531873,1506.939453125,41502.0
15,3.848833129956172,0.0,0.0,0.0007318909110292068,0.0007318909110292068,0.0007318909110292068,1716.593525816756,40147.7724609375,41502.0,2.0,0.030000000000000006,1.257278125,71.114,90.46,2482.5260647823684,1507.70068359375,41502.0
16,3.8588955310674815,0.0,0.0,0.0007294192569878681,0.0007294192569878681,0.0007294192569878681,1797.0980998030618,40146.7626953125,41502.0,2.0,0.035,1.2322540625,71.648,90.81,4594.733962057127,1508.20068359375,41502.0
17,3.7780761810449452,0.0,0.0,0.0007267943361119999,0.0007267943361119999,0.0007267943361119999,1798.3804284497435,40147.50634765625,41502.0,2.0,0.04,1.2164634375,72.036,90.976,2483.2987763008255,1506.91943359375,41502.0
