epoch,train_loss,train_top1,train_top5,train_lr,train_lr_min,train_lr_max,train_throughput,train_mem_allocated_mb,train_mem_reserved_mb,train_effective_lambda,train_soft_topk_aux_weight,eval_loss,eval_top1,eval_top5,eval_throughput,eval_mem_allocated_mb,eval_mem_reserved_mb
0,6.9277661213508015,0.0,0.0,1e-06,1e-06,1e-06,1689.1836172092742,39848.8427734375,42788.0,2.0,0.0,6.97570375,0.084,0.478,4992.230585963027,1507.44482421875,1700.0
1,6.6505057995135965,0.0,0.0,0.0001508,0.0001508,0.0001508,1821.1222441815307,39855.7109375,41608.0,2.0,0.0,6.96308625,0.08,0.528,4940.217919667891,1509.1640625,41608.0
2,6.351604846807627,0.0,0.0,0.00030060000000000004,0.00030060000000000004,0.00030060000000000004,1717.5634037851594,39853.81884765625,41608.0,2.0,0.0,6.9465575,0.114,0.624,4956.848174141286,1508.6962890625,41608.0
3,6.114967933067908,0.0,0.0,0.00045040000000000005,0.00045040000000000005,0.00045040000000000005,1816.749029735369,39853.81884765625,41608.0,2.0,0.0,6.9286425,0.156,0.806,4971.565983829571,1508.6962890625,41608.0
4,6.013176734630878,0.0,0.0,0.0006002000000000001,0.0006002000000000001,0.0006002000000000001,1732.1771975755928,39853.81884765625,41608.0,2.0,0.0,6.911315,0.21,0.97,4958.885847249484,1508.6962890625,41608.0
5,5.761821838525625,0.0,0.0,0.0007479731012862611,0.0007479731012862611,0.0007479731012862611,1803.799389448312,39853.81884765625,41608.0,2.0,0.0,6.8978125,0.288,1.196,4937.024308809605,1508.6962890625,41608.0
6,5.5936698363377495,0.0,0.0,0.0007470824394863569,0.0007470824394863569,0.0007470824394863569,1816.910887178076,39853.81884765625,41608.0,2.0,0.0,6.8858475,0.282,1.292,4905.143918467026,1508.6962890625,41608.0
7,5.468926594807551,0.0,0.0,0.0007460307631963057,0.0007460307631963057,0.0007460307631963057,1714.0818338642673,39853.81884765625,41608.0,2.0,0.0,6.8655325,0.282,1.39,4765.52011382064,1508.6962890625,41608.0
8,5.168048216746404,0.0,0.0,0.0007448185337160869,0.0007448185337160869,0.0007448185337160869,1817.6250913926776,39853.81884765625,41608.0,2.0,0.0,6.84080125,0.356,1.666,4960.250154461449,1508.6962890625,41608.0
9,5.146298793646006,0.0,0.0,0.0007434462827696148,0.0007434462827696148,0.0007434462827696148,1726.1302040771764,39853.81884765625,41608.0,2.0,0.0,6.814605,0.468,1.896,4963.735757247032,1508.6962890625,41608.0
