key,resolution,ft384,model,method,patch_tokens,top1
deit_p8|none|224|784,224,False,deit_p8,none,784,82.246
deit_p8|tome|224|523,224,False,deit_p8,tome,523,82.038
deit_p8|tome|224|392,224,False,deit_p8,tome,392,81.932
deit_p8|tome|224|314,224,False,deit_p8,tome,314,81.814
deit_p8|tome|224|262,224,False,deit_p8,tome,262,81.83
deit_p8|tome|224|196,224,False,deit_p8,tome,196,81.752
deit_p8|none|288|1296,288,False,deit_p8,none,1296,81.866
deit_p8|tome|288|865,288,False,deit_p8,tome,865,81.846
deit_p8|tome|288|648,288,False,deit_p8,tome,648,81.802
deit_p8|tome|288|519,288,False,deit_p8,tome,519,81.788
deit_p8|tome|288|433,288,False,deit_p8,tome,433,81.754
deit_p8|tome|288|324,288,False,deit_p8,tome,324,81.696
deit_p8|none|384|2304,384,False,deit_p8,none,2304,80.214
deit_p8|tome|384|1537,384,False,deit_p8,tome,1537,80.268
deit_p8|tome|384|1152,384,False,deit_p8,tome,1152,80.252
deit_p8|tome|384|923,384,False,deit_p8,tome,923,80.238
deit_p8|tome|384|770,384,False,deit_p8,tome,770,80.266
deit_p8|tome|384|576,384,False,deit_p8,tome,576,80.212
mergenet|none|224|784,224,False,mergenet,none,392,81.354
mergenet|mergenet|224|523,224,False,mergenet,mergenet,523,81.38
mergenet|mergenet|224|392,224,False,mergenet,mergenet,392,81.36
mergenet|mergenet|224|314,224,False,mergenet,mergenet,314,81.074
mergenet|mergenet|224|262,224,False,mergenet,mergenet,262,80.85
mergenet|mergenet|224|196,224,False,mergenet,mergenet,196,80.228
mergenet|none|288|1296,288,False,mergenet,none,648,81.404
mergenet|mergenet|288|865,288,False,mergenet,mergenet,865,81.318
mergenet|mergenet|288|648,288,False,mergenet,mergenet,648,81.4
mergenet|mergenet|288|519,288,False,mergenet,mergenet,519,81.308
mergenet|mergenet|288|433,288,False,mergenet,mergenet,433,81.188
mergenet|mergenet|288|324,288,False,mergenet,mergenet,324,80.788
mergenet|none|384|2304,384,False,mergenet,none,1152,79.732
mergenet|mergenet|384|1537,384,False,mergenet,mergenet,1537,79.476
mergenet|mergenet|384|1152,384,False,mergenet,mergenet,1152,79.74
mergenet|mergenet|384|923,384,False,mergenet,mergenet,923,79.802
mergenet|mergenet|384|770,384,False,mergenet,mergenet,770,79.746
mergenet|mergenet|384|576,384,False,mergenet,mergenet,576,79.456
deit_p16|none|224|196,224,False,deit_p16,none,196,79.69
deit_p16|none|288|324,288,False,deit_p16,none,324,80.128
deit_p16|none|384|576,384,False,deit_p16,none,576,78.252
deit_p8|pitome|224|523,224,False,deit_p8,pitome,523,81.876
mergenet|none|384|2304|ft384,384,True,mergenet,none,1152,82.56
deit_p8|none|384|2304|ft384,384,True,deit_p8,none,2304,82.976
deit_p8|tome|384|1537|ft384,384,True,deit_p8,tome,1537,82.868
deit_p8|pitome|224|392,224,False,deit_p8,pitome,392,81.742
deit_p8|pitome|224|314,224,False,deit_p8,pitome,314,81.56
deit_p8|pitome|224|262,224,False,deit_p8,pitome,262,81.5
mergenet|mergenet|384|1537|ft384,384,True,mergenet,mergenet,1537,82.5
deit_p8|tome|384|1152|ft384,384,True,deit_p8,tome,1152,82.866
deit_p8|pitome|224|196,224,False,deit_p8,pitome,196,81.206
mergenet|mergenet|384|1152|ft384,384,True,mergenet,mergenet,1152,82.562
deit_p8|tome|384|923|ft384,384,True,deit_p8,tome,923,82.8
deit_p8|pitome|288|865,288,False,deit_p8,pitome,865,81.712
mergenet|mergenet|384|923|ft384,384,True,mergenet,mergenet,923,82.23
deit_p8|tome|384|770|ft384,384,True,deit_p8,tome,770,82.792
mergenet|mergenet|384|770|ft384,384,True,mergenet,mergenet,770,82.002
deit_p8|tome|384|576|ft384,384,True,deit_p8,tome,576,82.742
deit_p8|pitome|288|648,288,False,deit_p8,pitome,648,81.642
mergenet|mergenet|384|576|ft384,384,True,mergenet,mergenet,576,81.3
deit_p8|pitome|288|519,288,False,deit_p8,pitome,519,81.506
deit_p8|pitome|288|433,288,False,deit_p8,pitome,433,81.426
deit_p8|pitome|288|324,288,False,deit_p8,pitome,324,81.3
deit_p8|pitome|384|1537|ft384,384,True,deit_p8,pitome,1537,82.658
deit_p8|pitome|384|1537,384,False,deit_p8,pitome,1537,79.998
deit_p8|pitome|384|1152,384,False,deit_p8,pitome,1152,79.788
deit_p8|pitome|384|1152|ft384,384,True,deit_p8,pitome,1152,82.534
deit_p8|pitome|384|923,384,False,deit_p8,pitome,923,79.752
deit_p8|pitome|384|923|ft384,384,True,deit_p8,pitome,923,82.452
deit_p8|pitome|384|770,384,False,deit_p8,pitome,770,79.632
deit_p8|pitome|384|770|ft384,384,True,deit_p8,pitome,770,82.334
deit_p8|pitome|384|576,384,False,deit_p8,pitome,576,79.568
deit_p8|pitome|384|576|ft384,384,True,deit_p8,pitome,576,82.296
