resolution,checkpoint_set,transfer_mode,crop_pct,final_patch_tokens,mergenet_radius,mergenet_top1,tome_top1,pitome_top1,tome_minus_mergenet_pp,pitome_minus_mergenet_pp,mergenet_checkpoint,baseline_checkpoint,n_images,interpretation
224,e300_224,native,0.9,523,3.0,81.38,82.038,81.876,0.658,0.496,s3_mn_r3_lr75_300e/ema_weights.pth,s3_deit_p8_300e/ema_weights.pth,50000,accuracy at equal final patch count; NOT matched compute or latency
224,e300_224,native,0.9,392,3.0,81.36,81.932,81.742,0.572,0.382,s3_mn_r3_lr75_300e/ema_weights.pth,s3_deit_p8_300e/ema_weights.pth,50000,accuracy at equal final patch count; NOT matched compute or latency
224,e300_224,native,0.9,314,3.0,81.074,81.814,81.56,0.74,0.486,s3_mn_r3_lr75_300e/ema_weights.pth,s3_deit_p8_300e/ema_weights.pth,50000,accuracy at equal final patch count; NOT matched compute or latency
224,e300_224,native,0.9,262,3.0,80.85,81.83,81.5,0.98,0.65,s3_mn_r3_lr75_300e/ema_weights.pth,s3_deit_p8_300e/ema_weights.pth,50000,accuracy at equal final patch count; NOT matched compute or latency
224,e300_224,native,0.9,196,3.0,80.228,81.752,81.206,1.524,0.978,s3_mn_r3_lr75_300e/ema_weights.pth,s3_deit_p8_300e/ema_weights.pth,50000,accuracy at equal final patch count; NOT matched compute or latency
288,e300_224,zero_shot_res_transfer,0.9,865,3.0,81.318,81.846,81.712,0.528,0.394,s3_mn_r3_lr75_300e/ema_weights.pth,s3_deit_p8_300e/ema_weights.pth,50000,accuracy at equal final patch count; NOT matched compute or latency
288,e300_224,zero_shot_res_transfer,0.9,648,3.0,81.4,81.802,81.642,0.402,0.242,s3_mn_r3_lr75_300e/ema_weights.pth,s3_deit_p8_300e/ema_weights.pth,50000,accuracy at equal final patch count; NOT matched compute or latency
288,e300_224,zero_shot_res_transfer,0.9,519,3.0,81.308,81.788,81.506,0.48,0.198,s3_mn_r3_lr75_300e/ema_weights.pth,s3_deit_p8_300e/ema_weights.pth,50000,accuracy at equal final patch count; NOT matched compute or latency
288,e300_224,zero_shot_res_transfer,0.9,433,3.0,81.188,81.754,81.426,0.566,0.238,s3_mn_r3_lr75_300e/ema_weights.pth,s3_deit_p8_300e/ema_weights.pth,50000,accuracy at equal final patch count; NOT matched compute or latency
288,e300_224,zero_shot_res_transfer,0.9,324,3.0,80.788,81.696,81.3,0.908,0.512,s3_mn_r3_lr75_300e/ema_weights.pth,s3_deit_p8_300e/ema_weights.pth,50000,accuracy at equal final patch count; NOT matched compute or latency
384,e300_224,zero_shot_res_transfer,0.9,1537,3.0,79.476,80.268,79.998,0.792,0.522,s3_mn_r3_lr75_300e/ema_weights.pth,s3_deit_p8_300e/ema_weights.pth,50000,accuracy at equal final patch count; NOT matched compute or latency
384,e300_224,zero_shot_res_transfer,0.9,1152,3.0,79.74,80.252,79.788,0.512,0.048,s3_mn_r3_lr75_300e/ema_weights.pth,s3_deit_p8_300e/ema_weights.pth,50000,accuracy at equal final patch count; NOT matched compute or latency
384,e300_224,zero_shot_res_transfer,0.9,923,3.0,79.802,80.238,79.752,0.436,-0.05,s3_mn_r3_lr75_300e/ema_weights.pth,s3_deit_p8_300e/ema_weights.pth,50000,accuracy at equal final patch count; NOT matched compute or latency
384,e300_224,zero_shot_res_transfer,0.9,770,3.0,79.746,80.266,79.632,0.52,-0.114,s3_mn_r3_lr75_300e/ema_weights.pth,s3_deit_p8_300e/ema_weights.pth,50000,accuracy at equal final patch count; NOT matched compute or latency
384,e300_224,zero_shot_res_transfer,0.9,576,3.0,79.456,80.212,79.568,0.756,0.112,s3_mn_r3_lr75_300e/ema_weights.pth,s3_deit_p8_300e/ema_weights.pth,50000,accuracy at equal final patch count; NOT matched compute or latency
384,ft384,native,1.0,1537,5.143,82.5,82.868,82.658,0.368,0.158,s3_mn_r5_ft384_30e/ema_weights.pth,s3_deit_p8_ft384_30e/ema_weights.pth,50000,accuracy at equal final patch count; NOT matched compute or latency
384,ft384,native,1.0,1152,5.143,82.562,82.866,82.534,0.304,-0.028,s3_mn_r5_ft384_30e/ema_weights.pth,s3_deit_p8_ft384_30e/ema_weights.pth,50000,accuracy at equal final patch count; NOT matched compute or latency
384,ft384,native,1.0,923,5.143,82.23,82.8,82.452,0.57,0.222,s3_mn_r5_ft384_30e/ema_weights.pth,s3_deit_p8_ft384_30e/ema_weights.pth,50000,accuracy at equal final patch count; NOT matched compute or latency
384,ft384,native,1.0,770,5.143,82.002,82.792,82.334,0.79,0.332,s3_mn_r5_ft384_30e/ema_weights.pth,s3_deit_p8_ft384_30e/ema_weights.pth,50000,accuracy at equal final patch count; NOT matched compute or latency
384,ft384,native,1.0,576,5.143,81.3,82.742,82.296,1.442,0.996,s3_mn_r5_ft384_30e/ema_weights.pth,s3_deit_p8_ft384_30e/ema_weights.pth,50000,accuracy at equal final patch count; NOT matched compute or latency
