resolution,checkpoint_set,model,final_patch_tokens,layer,attention_input_patches,mlp_input_patches,attention_type,recovery_query_patches,recovery_kv_patches,source
224,e300_224,ToMe,523,1,784,763,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
224,e300_224,ToMe,523,2,763,742,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
224,e300_224,ToMe,523,3,742,721,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
224,e300_224,ToMe,523,4,721,700,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
224,e300_224,ToMe,523,5,700,679,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
224,e300_224,ToMe,523,6,679,658,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
224,e300_224,ToMe,523,7,658,637,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
224,e300_224,ToMe,523,8,637,616,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
224,e300_224,ToMe,523,9,616,595,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
224,e300_224,ToMe,523,10,595,574,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
224,e300_224,ToMe,523,11,574,553,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
224,e300_224,ToMe,523,12,553,523,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
224,e300_224,MergeNet,523,1,784,784,raster 1D local +/-16 with global CLS,,,code-derived fixed 6+6 stages; soft local transport preserves full shape
224,e300_224,MergeNet,523,2,784,784,raster 1D local +/-16 with global CLS,,,code-derived fixed 6+6 stages; soft local transport preserves full shape
224,e300_224,MergeNet,523,3,784,784,raster 1D local +/-16 with global CLS,,,code-derived fixed 6+6 stages; soft local transport preserves full shape
224,e300_224,MergeNet,523,4,784,784,raster 1D local +/-16 with global CLS,,,code-derived fixed 6+6 stages; soft local transport preserves full shape
224,e300_224,MergeNet,523,5,784,784,raster 1D local +/-16 with global CLS,,,code-derived fixed 6+6 stages; soft local transport preserves full shape
224,e300_224,MergeNet,523,6,784,784,raster 1D local +/-16 with global CLS,,,code-derived fixed 6+6 stages; soft local transport preserves full shape
224,e300_224,MergeNet,523,7,523,523,global latent,523,784,code-derived fixed 6+6 stages; soft local transport preserves full shape
224,e300_224,MergeNet,523,8,523,523,global latent,,,code-derived fixed 6+6 stages; soft local transport preserves full shape
224,e300_224,MergeNet,523,9,523,523,global latent,,,code-derived fixed 6+6 stages; soft local transport preserves full shape
224,e300_224,MergeNet,523,10,523,523,global latent,,,code-derived fixed 6+6 stages; soft local transport preserves full shape
224,e300_224,MergeNet,523,11,523,523,global latent,,,code-derived fixed 6+6 stages; soft local transport preserves full shape
224,e300_224,MergeNet,523,12,523,523,global latent,,,code-derived fixed 6+6 stages; soft local transport preserves full shape
224,e300_224,ToMe,392,1,784,752,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
224,e300_224,ToMe,392,2,752,720,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
224,e300_224,ToMe,392,3,720,688,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
224,e300_224,ToMe,392,4,688,656,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
224,e300_224,ToMe,392,5,656,624,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
224,e300_224,ToMe,392,6,624,592,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
224,e300_224,ToMe,392,7,592,560,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
224,e300_224,ToMe,392,8,560,528,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
224,e300_224,ToMe,392,9,528,496,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
224,e300_224,ToMe,392,10,496,464,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
224,e300_224,ToMe,392,11,464,432,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
224,e300_224,ToMe,392,12,432,392,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
224,e300_224,MergeNet,392,1,784,784,raster 1D local +/-16 with global CLS,,,code-derived fixed 6+6 stages; soft local transport preserves full shape
224,e300_224,MergeNet,392,2,784,784,raster 1D local +/-16 with global CLS,,,code-derived fixed 6+6 stages; soft local transport preserves full shape
224,e300_224,MergeNet,392,3,784,784,raster 1D local +/-16 with global CLS,,,code-derived fixed 6+6 stages; soft local transport preserves full shape
224,e300_224,MergeNet,392,4,784,784,raster 1D local +/-16 with global CLS,,,code-derived fixed 6+6 stages; soft local transport preserves full shape
224,e300_224,MergeNet,392,5,784,784,raster 1D local +/-16 with global CLS,,,code-derived fixed 6+6 stages; soft local transport preserves full shape
224,e300_224,MergeNet,392,6,784,784,raster 1D local +/-16 with global CLS,,,code-derived fixed 6+6 stages; soft local transport preserves full shape
224,e300_224,MergeNet,392,7,392,392,global latent,392,784,code-derived fixed 6+6 stages; soft local transport preserves full shape
224,e300_224,MergeNet,392,8,392,392,global latent,,,code-derived fixed 6+6 stages; soft local transport preserves full shape
224,e300_224,MergeNet,392,9,392,392,global latent,,,code-derived fixed 6+6 stages; soft local transport preserves full shape
224,e300_224,MergeNet,392,10,392,392,global latent,,,code-derived fixed 6+6 stages; soft local transport preserves full shape
224,e300_224,MergeNet,392,11,392,392,global latent,,,code-derived fixed 6+6 stages; soft local transport preserves full shape
224,e300_224,MergeNet,392,12,392,392,global latent,,,code-derived fixed 6+6 stages; soft local transport preserves full shape
